,pkt,Channel,ant_info,I,Q,Magnitude,time_stamp,sample_idx,time_per_channel
4,0,32,(372+326j),372,326,494.631175725914,11.0,44,11.0
5,0,32,(497+201j),497,201,536.1063327363332,11.25,45,11.25
6,0,32,(526-26j),526,-26,526.6421935242181,11.5,46,11.5
7,0,32,(465-235j),465,-235,521.0086371644908,11.75,47,11.75
16,0,32,(-428-266j),-428,-266,503.9245975341946,17.0,68,17.0
17,0,32,(-519-93j),-519,-93,527.2665360138077,17.25,69,17.25
18,0,32,(-502+161j),-502,161,527.185925457044,17.5,70,17.5
19,0,32,(-390+366j),-390,366,534.8420327535972,17.75,71,17.75
28,0,32,(470+78j),470,78,476.42837866776995,23.0,92,23.0
29,0,32,(507-127j),507,-127,522.6643282260613,23.25,93,23.25
30,0,32,(418-319j),418,-319,525.8184097195533,23.5,94,23.5
31,0,32,(236-481j),236,-481,535.7770058522482,23.75,95,23.75
40,0,32,(-504-63j),-504,-63,507.9222381428086,29.0,116,29.0
41,0,32,(-522+129j),-522,129,537.7034498680476,29.25,117,29.25
42,0,32,(-426+309j),-426,309,526.2670424793861,29.5,118,29.5
43,0,32,(-240+465j),-240,465,523.2829062753723,29.75,119,29.75
52,0,32,(515+47j),515,47,517.1402130950561,35.0,140,35.0
53,0,32,(534-134j),534,-134,550.5560825202098,35.25,141,35.25
54,0,32,(407-340j),407,-340,530.329143080031,35.5,142,35.5
55,0,32,(223-476j),223,-476,525.6472201010864,35.75,143,35.75
64,0,32,(-464+134j),-464,134,482.96169620374656,41.0,164,41.0
65,0,32,(-416+313j),-416,313,520.6006146750117,41.25,165,41.25
66,0,32,(-232+472j),-232,472,525.9353572445953,41.5,166,41.5
67,0,32,(-13+532j),-13,532,532.1588108826161,41.75,167,41.75
76,0,32,(462-151j),462,-151,486.0504089083765,47.0,188,47.0
77,0,32,(392-337j),392,-337,516.945838555646,47.25,189,47.25
78,0,32,(227-458j),227,-458,511.16826975077396,47.5,190,47.5
79,0,32,(-5-517j),-5,-517,517.024177384385,47.75,191,47.75
88,0,32,(-444+227j),-444,227,498.663213000518,53.0,212,53.0
89,0,32,(-347+402j),-347,402,531.0489619611359,53.25,213,53.25
90,0,32,(-166+494j),-166,494,521.1448934797309,53.5,214,53.5
91,0,32,(75+504j),75,504,509.54980129522176,53.75,215,53.75
100,0,32,(349-346j),349,-346,491.44379129255464,59.0,236,59.0
101,0,32,(221-484j),221,-484,532.0686045990686,59.25,237,59.25
102,0,32,(-14-534j),-14,-534,534.1834890746811,59.5,238,59.5
103,0,32,(-235-476j),-235,-476,530.849319487178,59.75,239,59.75
112,0,32,(-265+405j),-265,405,483.9938016132025,65.0,260,65.0
113,0,32,(-123+510j),-123,510,524.6227215819002,65.25,261,65.25
114,0,32,(106+519j),106,519,529.7140738171868,65.5,262,65.5
115,0,32,(303+437j),303,437,531.7687467311331,65.75,263,65.75
124,0,32,(241-440j),241,-440,501.6781836994708,71.0,284,71.0
125,0,32,(64-535j),64,-535,538.8144393016951,71.25,285,71.25
126,0,32,(-137-517j),-137,-517,534.8439024612695,71.5,286,71.5
127,0,32,(-345-406j),-345,-406,532.786073391563,71.75,287,71.75
136,0,32,(-178+466j),-178,466,498.8386512691253,77.0,308,77.0
137,0,32,(16+534j),16,534,534.2396466006618,77.25,309,77.25
138,0,32,(221+483j),221,483,531.1591098719855,77.5,310,77.5
139,0,32,(414+329j),414,329,528.8071482118978,77.75,311,77.75
148,0,32,(53-486j),53,-486,488.8813762049031,83.0,332,83.0
149,0,32,(-127-513j),-127,-513,528.4865182764836,83.25,333,83.25
