,pkt,Channel,ant_info,I,Q,Magnitude,time_stamp,sample_idx,time_per_channel
0,0,35,(65+7j),65,7,65.37583651472461,9.0,36,9.0
1,0,35,(62-22j),62,-22,65.7875368135941,9.25,37,9.25
2,0,35,(52-45j),52,-45,68.76772498781678,9.5,38,9.5
3,0,35,(33-65j),33,-65,72.89718787443039,9.75,39,9.75
12,0,35,(-61+15j),-61,15,62.81719509815764,15.0,60,15.0
13,0,35,(-55+35j),-55,35,65.19202405202648,15.25,61,15.25
14,0,35,(-31+56j),-31,56,64.00781202322104,15.5,62,15.5
15,0,35,(-2+66j),-2,66,66.03029607687671,15.75,63,15.75
24,0,35,(60-42j),60,-42,73.23933369440222,21.0,84,21.0
25,0,35,(40-59j),40,-59,71.28113354878694,21.25,85,21.25
26,0,35,(6-69j),6,-69,69.26037828369117,21.5,86,21.5
27,0,35,(-30-66j),-30,-66,72.49827584156743,21.75,87,21.75
36,0,35,(-43+57j),-43,57,71.40028011149536,27.0,108,27.0
37,0,35,(-19+65j),-19,65,67.72001181334805,27.25,109,27.25
38,0,35,(10+66j),10,66,66.75327707311455,27.5,110,27.5
39,0,35,(42+56j),42,56,70.0,27.75,111,27.75
48,0,35,(6-63j),6,-63,63.28506932918696,33.0,132,33.0
49,0,35,(-16-66j),-16,-66,67.91170738539859,33.25,133,33.25
50,0,35,(-44-56j),-44,-56,71.21797525905943,33.5,134,33.5
51,0,35,(-68-30j),-68,-30,74.32361670424818,33.75,135,33.75
60,0,35,(20+62j),20,62,65.14598989960932,39.0,156,39.0
61,0,35,(42+54j),42,54,68.41052550594829,39.25,157,39.25
62,0,35,(63+30j),63,30,69.77822009767804,39.5,158,39.5
63,0,35,(71+4j),71,4,71.11258679024411,39.75,159,39.75
72,0,35,(-46-50j),-46,-50,67.94115100585212,45.0,180,45.0
73,0,35,(-57-33j),-57,-33,65.86349520030045,45.25,181,45.25
74,0,35,(-66-4j),-66,-4,66.12110101926616,45.5,182,45.5
75,0,35,(-64+27j),-64,27,69.46221994724903,45.75,183,45.75
84,0,35,(54+33j),54,33,63.28506932918696,51.0,204,51.0
85,0,35,(64+9j),64,9,64.6297145282261,51.25,205,51.25
86,0,35,(64-22j),64,-22,67.67569726275453,51.5,206,51.5
87,0,35,(48-55j),48,-55,73.0,51.75,207,51.75
96,0,35,(-61-11j),-61,-11,61.98386886924694,57.0,228,57.0
97,0,35,(-63+15j),-63,15,64.76109943476871,57.25,229,57.25
98,0,35,(-49+43j),-49,43,65.19202405202648,57.5,230,57.5
99,0,35,(-22+64j),-22,64,67.67569726275453,57.75,231,57.75
108,0,35,(69-23j),69,-23,72.73238618387272,63.0,252,63.0
109,0,35,(56-43j),56,-43,70.60453243241541,63.25,253,63.25
110,0,35,(30-62j),30,-62,68.87670143089025,63.5,254,63.5
111,0,35,(2-73j),2,-73,73.02739212103907,63.75,255,63.75
120,0,35,(-47+43j),-47,43,63.702433234531945,69.0,276,69.0
121,0,35,(-36+56j),-36,56,66.57326790837296,69.25,277,69.25
122,0,35,(-8+68j),-8,68,68.46897107449476,69.5,278,69.5
123,0,35,(24+65j),24,65,69.28924880528002,69.75,279,69.75
132,0,35,(34-56j),34,-56,65.5133574166368,75.0,300,75.0
133,0,35,(11-65j),11,-65,65.92419889539804,75.25,301,75.25
134,0,35,(-18-64j),-18,-64,66.48308055437865,75.5,302,75.5
135,0,35,(-46-51j),-46,-51,68.6804193347711,75.75,303,75.75
144,0,35,(-6+68j),-6,68,68.26419266350405,81.0,324,81.0
145,0,35,(19+61j),19,61,63.89053137985315,81.25,325,81.25
146,0,35,(45+48j),45,48,65.79513659838392,81.5,326,81.5
147,0,35,(68+24j),68,24,72.11102550927978,81.75,327,81.75
156,0,35,(-29-64j),-29,-64,70.26378868236469,87.0,348,87.0
157,0,35,(-46-53j),-46,-53,70.178344238091,87.25,349,87.25
158,0,35,(-62-23j),-62,-23,66.12866246946176,87.5,350,87.5
159,0,35,(-64+7j),-64,7,64.38167441127949,87.75,351,87.75
168,0,35,(45+51j),45,51,68.01470429252781,93.0,372,93.0
169,0,35,(59+31j),59,31,66.64833081180653,93.25,373,93.25
170,0,35,(64-4j),64,-4,64.1248781675256,93.5,374,93.5
171,0,35,(57-35j),57,-35,66.88796603276258,93.75,375,93.75
180,0,35,(-62-30j),-62,-30,68.87670143089025,99.0,396,99.0
181,0,35,(-64-9j),-64,-9,64.6297145282261,99.25,397,99.25
182,0,35,(-59+17j),-59,17,61.40032573203501,99.5,398,99.5
183,0,35,(-45+46j),-45,46,64.35060217278468,99.75,399,99.75
192,0,35,(67+1j),67,1,67.00746227100382,105.0,420,105.0
193,0,35,(67-25j),67,-25,71.5122367151245,105.25,421,105.25
194,0,35,(53-51j),53,-51,73.55270219373317,105.5,422,105.5
195,0,35,(24-71j),24,-71,74.94664769020693,105.75,423,105.75
204,0,35,(-66+24j),-66,24,70.22819946431775,111.0,444,111.0
205,0,35,(-51+45j),-51,45,68.01470429252781,111.25,445,111.25
206,0,35,(-21+62j),-21,62,65.45991139621256,111.5,446,111.5
207,0,35,(7+68j),7,68,68.3593446428504,111.75,447,111.75
