,pkt,Channel,ant_info,I,Q,Magnitude,time_stamp,sample_idx,time_per_channel
8,0,31,(175-486j),175,-486,516.5471904869873,13.0,52,13.0
9,0,31,(-115-471j),-115,-471,484.8360547649071,13.25,53,13.25
10,0,31,(-303-385j),-303,-385,489.9326484324146,13.5,54,13.5
11,0,31,(-426-230j),-426,-230,484.12395107038446,13.75,55,13.75
20,0,31,(-210+477j),-210,477,521.1803910355799,19.0,76,19.0
21,0,31,(53+481j),53,481,483.911148869294,19.25,77,19.25
22,0,31,(279+400j),279,400,487.68945036775193,19.5,78,19.5
23,0,31,(412+252j),412,252,482.9575550708364,19.75,79,19.75
32,0,31,(281-461j),281,-461,539.8907296851836,25.0,100,25.0
33,0,31,(-13-499j),-13,-499,499.16930995404755,25.25,101,25.25
34,0,31,(-246-429j),-246,-429,494.52704678308544,25.5,102,25.5
35,0,31,(-382-295j),-382,-295,482.64790479188866,25.75,103,25.75
44,0,31,(-269+459j),-269,459,532.0169170242616,31.0,124,31.0
45,0,31,(28+493j),28,493,493.79449166632065,31.25,125,31.25
46,0,31,(234+442j),234,442,500.11998560345495,31.5,126,31.5
47,0,31,(377+313j),377,313,489.9979591794235,31.75,127,31.75
56,0,31,(339-396j),339,-396,521.283991697424,37.0,148,37.0
57,0,31,(97-476j),97,-476,485.78287330864185,37.25,149,37.25
58,0,31,(-135-471j),-135,-471,489.96530489413226,37.5,150,37.5
59,0,31,(-289-388j),-289,-388,483.8026457141383,37.75,151,37.75
68,0,31,(-396+353j),-396,353,530.495051814812,43.0,172,43.0
69,0,31,(-122+465j),-122,465,480.73797436857427,43.25,173,43.25
70,0,31,(95+473j),95,473,482.4458518839187,43.5,174,43.5
71,0,31,(278+385j),278,385,474.87787903839023,43.75,175,43.75
80,0,31,(377-367j),377,-367,526.1349636737707,49.0,196,49.0
81,0,31,(134-476j),134,-476,494.50176946093933,49.25,197,49.25
82,0,31,(-106-479j),-106,-479,490.5884222033781,49.5,198,49.5
83,0,31,(-270-396j),-270,-396,479.2869704049965,49.75,199,49.75
92,0,31,(-374+370j),-374,370,526.0950484465711,55.0,220,55.0
93,0,31,(-102+469j),-102,469,479.96354028196765,55.25,221,55.25
94,0,31,(109+465j),109,465,477.60443884034413,55.5,222,55.5
95,0,31,(289+372j),289,372,471.0679356525978,55.75,223,55.75
104,0,31,(393-316j),393,-316,504.2866248474175,61.0,244,61.0
105,0,31,(171-445j),171,-445,476.7242389474234,61.25,245,61.25
106,0,31,(-59-483j),-59,-483,486.5901766373834,61.5,246,61.5
107,0,31,(-242-416j),-242,-416,481.26915546292804,61.75,247,61.75
116,0,31,(-481+263j),-481,263,548.2061655983084,67.0,268,67.0
117,0,31,(-249+433j),-249,433,499.48973963435924,67.25,269,67.25
118,0,31,(-31+497j),-31,497,497.96586228375133,67.5,270,67.5
119,0,31,(136+468j),136,468,487.3602363755172,67.75,271,67.75
128,0,31,(500-171j),500,-171,528.4325879428709,73.0,292,73.0
129,0,31,(307-382j),307,-382,490.07448413480984,73.25,293,73.25
130,0,31,(120-473j),120,-473,487.9846309055235,73.5,294,73.5
131,0,31,(-80-472j),-80,-472,478.7316576120698,73.75,295,73.75
140,0,31,(-491+217j),-491,217,536.8146793820005,79.0,316,79.0
141,0,31,(-314+387j),-314,387,498.3623179976592,79.25,317,79.25
142,0,31,(-106+480j),-106,480,491.5648482143531,79.5,318,79.5
143,0,31,(66+472j),66,472,476.59206875482096,79.75,319,79.75
152,0,31,(495-210j),495,-210,537.7034498680476,85.0,340,85.0
153,0,31,(275-407j),275,-407,491.19649835885434,85.25,341,85.25
154,0,31,(76-486j),76,-486,491.9064951797242,85.5,342,85.5
155,0,31,(-120-468j),-120,-468,483.1397313407375,85.75,343,85.75
164,0,31,(-532+120j),-532,120,545.365932195989,91.0,364,91.0
165,0,31,(-390+328j),-390,328,509.5919936576712,91.25,365,91.25
166,0,31,(-210+471j),-210,471,515.6946771104002,91.5,366,91.5
167,0,31,(-29+494j),-29,494,494.85048246919996,91.75,367,91.75
176,0,31,(525-44j),525,-44,526.8405830989104,97.0,388,97.0
177,0,31,(379-297j),379,-297,481.5080477001397,97.25,389,97.25
178,0,31,(200-449j),200,-449,491.52924633230117,97.5,390,97.5
179,0,31,(36-487j),36,-487,488.3287826864192,97.75,391,97.75
188,0,31,(-530+32j),-530,32,530.9651589322975,103.0,412,103.0
189,0,31,(-395+284j),-395,284,486.4987153117673,103.25,413,103.25
190,0,31,(-241+422j),-241,422,485.96810594935135,103.5,414,103.5
191,0,31,(-54+473j),-54,473,476.07247347436504,103.75,415,103.75
200,0,31,(538+3j),538,3,538.0083642472484,109.0,436,109.0
201,0,31,(438-240j),438,-240,499.4436905197622,109.25,437,109.25
202,0,31,(276-412j),276,-412,495.90321636383845,109.5,438,109.5
203,0,31,(110-475j),110,-475,487.5705077217038,109.75,439,109.75
212,0,31,(-527-89j),-527,-89,534.4623466625128,115.0,460,115.0
213,0,31,(-448+193j),-448,193,487.80426402400377,115.25,461,115.25
214,0,31,(-321+367j),-321,367,487.57563515827985,115.5,462,115.5
