pkt,Channel,ant_info,I,Q,Magnitude,time_stamp,sample_idx
0,35,(65+7j),65,7,65.37583651472461,9.0,36
0,35,(62-22j),62,-22,65.7875368135941,9.25,37
0,35,(52-45j),52,-45,68.76772498781678,9.5,38
0,35,(33-65j),33,-65,72.89718787443039,9.75,39
0,35,(-30+46j),-30,46,54.91812087098393,11.0,44
0,35,(-6+55j),-6,55,55.326304774492215,11.25,45
0,35,(16+48j),16,48,50.59644256269407,11.5,46
0,35,(34+32j),34,32,46.69047011971501,11.75,47
0,35,(-19-27j),-19,-27,33.015148038438355,13.0,52
0,35,(-31-24j),-31,-24,39.20459156782532,13.25,53
0,35,(-34-11j),-34,-11,35.73513677041127,13.5,54
0,35,(-28+7j),-28,7,28.861739379323623,13.75,55
0,35,(-61+15j),-61,15,62.81719509815764,15.0,60
0,35,(-55+35j),-55,35,65.19202405202648,15.25,61
0,35,(-31+56j),-31,56,64.00781202322104,15.5,62
0,35,(-2+66j),-2,66,66.03029607687671,15.75,63
0,35,(17-47j),17,-47,49.9799959983992,17.0,68
0,35,(-2-56j),-2,-56,56.0357029044876,17.25,69
0,35,(-22-51j),-22,-51,55.54277630799526,17.5,70
0,35,(-41-37j),-41,-37,55.226805085936306,17.75,71
0,35,(23+24j),23,24,33.24154027718932,19.0,76
0,35,(33+13j),33,13,35.4682957019364,19.25,77
0,35,(29-1j),29,-1,29.017236257093817,19.5,78
0,35,(19-15j),19,-15,24.20743687382041,19.75,79
0,35,(60-42j),60,-42,73.23933369440222,21.0,84
0,35,(40-59j),40,-59,71.28113354878694,21.25,85
0,35,(6-69j),6,-69,69.26037828369117,21.5,86
0,35,(-30-66j),-30,-66,72.49827584156743,21.75,87
0,35,(3+47j),3,47,47.095647357266465,23.0,92
0,35,(32+49j),32,49,58.52349955359813,23.25,93
0,35,(51+35j),51,35,61.85466837676846,23.5,94
0,35,(59+13j),59,13,60.41522986797286,23.75,95
0,35,(-32-12j),-32,-12,34.17601498127012,25.0,100
0,35,(-33+5j),-33,5,33.37663853655727,25.25,101
0,35,(-23+16j),-23,16,28.0178514522438,25.5,102
0,35,(-12+22j),-12,22,25.059928172283335,25.75,103
0,35,(-43+57j),-43,57,71.40028011149536,27.0,108
0,35,(-19+65j),-19,65,67.72001181334805,27.25,109
0,35,(10+66j),10,66,66.75327707311455,27.5,110
0,35,(42+56j),42,56,70.0,27.75,111
0,35,(-19-48j),-19,-48,51.62363799656123,29.0,116
0,35,(-40-39j),-40,-39,55.86591089385369,29.25,117
0,35,(-53-19j),-53,-19,56.302753041036986,29.5,118
0,35,(-54+8j),-54,8,54.589376255824725,29.75,119
0,35,(32-5j),32,-5,32.38826948140329,31.0,124
0,35,(29-20j),29,-20,35.22782990761707,31.25,125
0,35,(16-27j),16,-27,31.38470965295043,31.5,126
0,35,(3-29j),3,-29,29.154759474226502,31.75,127
0,35,(6-63j),6,-63,63.28506932918696,33.0,132
0,35,(-16-66j),-16,-66,67.91170738539859,33.25,133
0,35,(-44-56j),-44,-56,71.21797525905943,33.5,134
0,35,(-68-30j),-68,-30,74.32361670424818,33.75,135
