pkt,Channel,ant_info,I,Q,Magnitude,time_stamp,sample_idx
0,17,(89-9j),89,-9,89.45389874119518,9.0,36
0,17,(79-42j),79,-42,89.47066558375433,9.25,37
0,17,(53-73j),53,-73,90.21086409075129,9.5,38
0,17,(18-92j),18,-92,93.74433316206373,9.75,39
0,17,(-43+59j),-43,59,73.00684899377592,11.0,44
0,17,(-2+89j),-2,89,89.02246907382428,11.25,45
0,17,(36+90j),36,90,96.93296652842108,11.5,46
0,17,(73+67j),73,67,99.08582138732059,11.75,47
0,17,(-15-68j),-15,-68,69.63476143421474,13.0,52
0,17,(-56-48j),-56,-48,73.7563556583431,13.25,53
0,17,(-74-18j),-74,-18,76.15773105863909,13.5,54
0,17,(-73+20j),-73,20,75.69015788066504,13.75,55
0,17,(-44+82j),-44,82,93.05912099305473,15.0,60
0,17,(-40+86j),-40,86,94.847245611035,15.25,61
0,17,(-12+91j),-12,91,91.7877987534291,15.5,62
0,17,(29+88j),29,88,92.65527507918802,15.75,63
0,17,(-12-70j),-12,-70,71.02112361825881,17.0,68
0,17,(-60-64j),-60,-64,87.72684879784524,17.25,69
0,17,(-96-32j),-96,-32,101.19288512538814,17.5,70
0,17,(-105+10j),-105,10,105.47511554864494,17.75,71
0,17,(61+34j),61,34,69.83552104767315,19.0,76
0,17,(75-10j),75,-10,75.66372975210778,19.25,77
0,17,(65-40j),65,-40,76.32168761236873,19.5,78
0,17,(39-59j),39,-59,70.7248188403477,19.75,79
0,17,(-19-86j),-19,-86,88.07383266328314,21.0,84
0,17,(-32-87j),-32,-87,92.69843580125827,21.25,85
0,17,(-55-73j),-55,-73,91.40021881811882,21.5,86
0,17,(-85-41j),-85,-41,94.37160589923221,21.75,87
0,17,(53+50j),53,50,72.86288492778748,23.0,92
0,17,(83+18j),83,18,84.92938243034621,23.25,93
0,17,(92-23j),92,-23,94.83142938920619,23.5,94
0,17,(76-60j),76,-60,96.82974749528164,23.75,95
0,17,(-76+3j),-76,3,76.05918747922567,25.0,100
0,17,(-62+43j),-62,43,75.45197147855052,25.25,101
0,17,(-30+69j),-30,69,75.23961722390672,25.5,102
0,17,(3+74j),3,74,74.06078584514209,25.75,103
0,17,(74+50j),74,50,89.30845424706443,27.0,108
0,17,(79+44j),79,44,90.4267659490264,27.25,109
0,17,(83+22j),83,22,85.86617494683223,27.5,110
0,17,(82-19j),82,-19,84.17244204607586,27.75,111
0,17,(-76-9j),-76,-9,76.53103945458993,29.0,116
0,17,(-80+47j),-80,47,92.78469701410896,29.25,117
0,17,(-58+85j),-58,85,102.90286682109493,29.5,118
0,17,(-12+104j),-12,104,104.6900186264192,29.75,119
0,17,(54-48j),54,-48,72.24956747275377,31.0,124
0,17,(20-69j),20,-69,71.84010022264724,31.25,125
0,17,(-20-73j),-20,-73,75.69015788066504,31.5,126
0,17,(-48-59j),-48,-59,76.05918747922567,31.75,127
0,17,(-91-4j),-91,-4,91.08786966440702,33.0,132
0,17,(-96+2j),-96,2,96.02083107326243,33.25,133
0,17,(-89+28j),-89,28,93.30058949438637,33.5,134
0,17,(-69+61j),-69,61,92.09777413162601,33.75,135
0,17,(63-34j),63,-34,71.58910531638176,35.0,140
0,17,(36-84j),36,-84,91.3892772703669,35.25,141
0,17,(-1-102j),-1,-102,102.00490184299969,35.5,142
0,17,(-48-90j),-48,-90,102.0,35.75,143
0,17,(-9+68j),-9,68,68.59300255857006,37.0,148
0,17,(41+59j),41,59,71.84705978674423,37.25,149
0,17,(67+36j),67,36,76.05918747922567,37.5,150
0,17,(74+3j),74,3,74.06078584514209,37.75,151
0,17,(68-60j),68,-60,90.68627239003708,39.0,156
0,17,(63-67j),63,-67,91.96738552334735,39.25,157
0,17,(40-81j),40,-81,90.33825324855468,39.5,158
0,17,(5-90j),5,-90,90.13878188659973,39.75,159
0,17,(-25+77j),-25,77,80.95677859203639,41.0,164
0,17,(21+96j),21,96,98.2700361249552,41.25,165
0,17,(64+84j),64,84,105.60303025955268,41.5,166
0,17,(89+50j),89,50,102.08329931972223,41.75,167
0,17,(-33-64j),-33,-64,72.00694410957877,43.0,172
0,17,(-69-32j),-69,-32,76.05918747922567,43.25,173
0,17,(-80+2j),-80,2,80.02499609497022,43.5,174
0,17,(-67+35j),-67,35,75.59100475585703,43.75,175
0,17,(-28+85j),-28,85,89.49301648732151,45.0,180
0,17,(-22+90j),-22,90,92.64987857520376,45.25,181
0,17,(6+90j),6,90,90.19977827023745,45.5,182
0,17,(52+76j),52,76,92.0869154657707,45.75,183
0,17,(-30-70j),-30,-70,76.15773105863909,47.0,188
0,17,(-72-53j),-72,-53,89.40357934669059,47.25,189
0,17,(-94-18j),-94,-18,95.70788891204319,47.5,190
0,17,(-92+19j),-92,19,93.94147114027967,47.75,191
0,17,(63+25j),63,25,67.77905281132217,49.0,196
0,17,(70-16j),70,-16,71.80529228406496,49.25,197
0,17,(59-53j),59,-53,79.30952023559341,49.5,198
0,17,(32-68j),32,-68,75.15317691222374,49.75,199
0,17,(-39-81j),-39,-81,89.89994438263018,51.0,204
0,17,(-48-79j),-48,-79,92.43916918709297,51.25,205
0,17,(-65-62j),-65,-62,89.8276126811795,51.5,206
0,17,(-85-26j),-85,-26,88.88756943465155,51.75,207
0,17,(54+42j),54,42,68.41052550594829,53.0,212
0,17,(87+0j),87,0,87.0,53.25,213
0,17,(88-42j),88,-42,97.50897394599124,53.5,214
0,17,(62-81j),62,-81,102.00490184299969,53.75,215
0,17,(-61+22j),-61,22,64.8459713474939,55.0,220
0,17,(-41+56j),-41,56,69.40461079784254,55.25,221
0,17,(-8+72j),-8,72,72.44308110509934,55.5,222
0,17,(21+67j),21,67,70.21395872616783,55.75,223
0,17,(83+34j),83,34,89.69392398596462,57.0,228
0,17,(90+27j),90,27,93.96275858019496,57.25,229
0,17,(94-4j),94,-4,94.08506789071261,57.5,230
0,17,(84-47j),84,-47,96.25487000666512,57.75,231
0,17,(-77+16j),-77,16,78.64477096412705,59.0,236
0,17,(-67+69j),-67,69,96.17692030835673,59.25,237
0,17,(-41+98j),-41,98,106.23088063270491,59.5,238
0,17,(1+106j),1,106,106.00471687618433,59.75,239
0,17,(37-57j),37,-57,67.95586803212802,61.0,244
0,17,(-6-74j),-6,-74,74.24284477308234,61.25,245
0,17,(-39-68j),-39,-68,78.39005038906404,61.5,246
0,17,(-63-42j),-63,-42,75.71657678474378,61.75,247
