[2021-05-07 13:39:28,221]      root -     INFO - Setting nodes : 
[2021-05-07 13:39:28,225]      root -     INFO - Message receiver started
[2021-05-07 13:39:28,226]      root -     INFO - RTLS Manager started
[2021-05-07 13:39:28,284]      root -  WARNING - ConstError('parsing expected 254 but parsed 80')
[2021-05-07 13:39:28,286]      root -  WARNING - ConstError('parsing expected 254 but parsed 255')
[2021-05-07 13:39:28,287]      root -  WARNING - ConstError('parsing expected 254 but parsed 182')
[2021-05-07 13:39:28,290]      root -  WARNING - ConstError('parsing expected 254 but parsed 255')
[2021-05-07 13:39:28,290]      root -  WARNING - ConstError('parsing expected 254 but parsed 111')
[2021-05-07 13:39:28,513]      root -     INFO - MASTER  : F8:8A:5E:2D:78:08 --> {'type': 'Event', 'command': 'RTLS_CMD_AOA_RESULT_RAW', 'payload': {'connHandle': 0, 'rssi': -64, 'antenna': 1, 'channel': 32, 'offset': 0, 'samplesLength': 624, 'samples': [{'q': 19, 'i': 62}, {'q': -9, 'i': 68}, {'q': -34, 'i': 64}, {'q': -58, 'i': 47}, {'q': -71, 'i': 23}, {'q': -74, 'i': -10}, {'q': -66, 'i': -39}, {'q': -47, 'i': -63}, {'q': -21, 'i': -74}, {'q': 5, 'i': -74}, {'q': 34, 'i': -66}, {'q': 58, 'i': -51}, {'q': 76, 'i': -27}, {'q': 81, 'i': 0}, {'q': 73, 'i': 31}, {'q': 53, 'i': 54}, {'q': 30, 'i': 65}, {'q': 4, 'i': 69}, {'q': -17, 'i': 66}, {'q': -40, 'i': 54}, {'q': -57, 'i': 36}, {'q': -68, 'i': 6}, {'q': -66, 'i': -26}, {'q': -52, 'i': -50}, {'q': -27, 'i': -67}, {'q': -2, 'i': -73}, {'q': 24, 'i': -69}, {'q': 43, 'i': -57}, {'q': 58, 'i': -39}, {'q': 68, 'i': -15}, {'q': 68, 'i': 10}, {'q': 58, 'i': 37}]}}
[2021-05-07 13:39:28,538]      root -     INFO - MASTER  : F8:8A:5E:2D:78:08 --> {'type': 'Event', 'command': 'RTLS_CMD_AOA_RESULT_RAW', 'payload': {'connHandle': 0, 'rssi': -64, 'antenna': 1, 'channel': 32, 'offset': 32, 'samplesLength': 624, 'samples': [{'q': 41, 'i': 58}, {'q': 14, 'i': 72}, {'q': -13, 'i': 75}, {'q': -42, 'i': 65}, {'q': -65, 'i': 45}, {'q': -77, 'i': 18}, {'q': -77, 'i': -17}, {'q': -63, 'i': -44}, {'q': -34, 'i': -65}, {'q': -2, 'i': -67}, {'q': 35, 'i': -55}, {'q': 62, 'i': -32}, {'q': 74, 'i': -6}, {'q': 72, 'i': 24}, {'q': 58, 'i': 50}, {'q': 32, 'i': 71}, {'q': 5, 'i': 79}, {'q': -25, 'i': 73}, {'q': -48, 'i': 55}, {'q': -61, 'i': 32}, {'q': -67, 'i': 3}, {'q': -63, 'i': -23}, {'q': -49, 'i': -49}, {'q': -25, 'i': -65}, {'q': 0, 'i': -71}, {'q': 25, 'i': -68}, {'q': 41, 'i': -59}, {'q': 52, 'i': -45}, {'q': 60, 'i': -31}, {'q': 70, 'i': -9}, {'q': 73, 'i': 18}, {'q': 65, 'i': 44}]}}
[2021-05-07 13:39:28,552]      root -     INFO - MASTER  : F8:8A:5E:2D:78:08 --> {'type': 'Event', 'command': 'RTLS_CMD_AOA_RESULT_RAW', 'payload': {'connHandle': 0, 'rssi': -64, 'antenna': 1, 'channel': 32, 'offset': 128, 'samplesLength': 624, 'samples': [{'q': 28, 'i': 59}, {'q': 3, 'i': 66}, {'q': -15, 'i': 67}, {'q': -29, 'i': 63}, {'q': -42, 'i': 56}, {'q': -57, 'i': 43}, {'q': -71, 'i': 18}, {'q': -75, 'i': -10}, {'q': -63, 'i': -42}, {'q': -36, 'i': -63}, {'q': 2, 'i': -72}, {'q': 42, 'i': -65}, {'q': 68, 'i': -45}, {'q': 84, 'i': -13}, {'q': 83, 'i': 19}, {'q': 66, 'i': 50}, {'q': 43, 'i': 68}, {'q': 11, 'i': 76}, {'q': -18, 'i': 71}, {'q': -38, 'i': 59}, {'q': -55, 'i': 38}, {'q': -63, 'i': 14}, {'q': -63, 'i': -15}, {'q': -53, 'i': -44}, {'q': -37, 'i': -62}, {'q': -19, 'i': -74}, {'q': -3, 'i': -77}, {'q': 14, 'i': -73}, {'q': 31, 'i': -63}, {'q': 51, 'i': -44}, {'q': 69, 'i': -17}, {'q': 76, 'i': 10}]}}
[2021-05-07 13:39:28,560]      root -     INFO - MASTER  : F8:8A:5E:2D:78:08 --> {'type': 'Event', 'command': 'RTLS_CMD_AOA_RESULT_RAW', 'payload': {'connHandle': 0, 'rssi': -64, 'antenna': 1, 'channel': 32, 'offset': 416, 'samplesLength': 624, 'samples': [{'q': 49, 'i': -43}, {'q': 62, 'i': -30}, {'q': 71, 'i': -17}, {'q': 75, 'i': 0}, {'q': 68, 'i': 21}, {'q': 55, 'i': 42}, {'q': 34, 'i': 63}, {'q': 11, 'i': 73}, {'q': -19, 'i': 69}, {'q': -46, 'i': 49}, {'q': -66, 'i': 11}, {'q': -69, 'i': -31}, {'q': -55, 'i': -61}, {'q': -24, 'i': -78}, {'q': 9, 'i': -80}, {'q': 42, 'i': -69}, {'q': 63, 'i': -51}, {'q': 76, 'i': -24}, {'q': 73, 'i': 6}, {'q': 60, 'i': 32}, {'q': 38, 'i': 53}, {'q': 16, 'i': 62}, {'q': -7, 'i': 62}, {'q': -28, 'i': 53}, {'q': -46, 'i': 41}, {'q': -60, 'i': 27}, {'q': -69, 'i': 13}, {'q': -72, 'i': -4}, {'q': -67, 'i': -22}, {'q': -53, 'i': -45}, {'q': -30, 'i': -66}, {'q': -6, 'i': -76}]}}
[2021-05-07 13:39:28,561]      root -     INFO - MASTER  : F8:8A:5E:2D:78:08 --> {'type': 'Event', 'command': 'RTLS_CMD_AOA_RESULT_RAW', 'payload': {'connHandle': 0, 'rssi': -64, 'antenna': 1, 'channel': 32, 'offset': 352, 'samplesLength': 624, 'samples': [{'q': 70, 'i': -38}, {'q': 76, 'i': -4}, {'q': 65, 'i': 35}, {'q': 45, 'i': 62}, {'q': 14, 'i': 77}, {'q': -18, 'i': 76}, {'q': -45, 'i': 66}, {'q': -67, 'i': 44}, {'q': -76, 'i': 21}, {'q': -75, 'i': -8}, {'q': -64, 'i': -31}, {'q': -43, 'i': -51}, {'q': -15, 'i': -62}, {'q': 9, 'i': -63}, {'q': 31, 'i': -54}, {'q': 48, 'i': -40}, {'q': 63, 'i': -20}, {'q': 72, 'i': -2}, {'q': 76, 'i': 17}, {'q': 70, 'i': 34}, {'q': 55, 'i': 48}, {'q': 32, 'i': 62}, {'q': 7, 'i': 70}, {'q': -24, 'i': 70}, {'q': -47, 'i': 58}, {'q': -64, 'i': 29}, {'q': -68, 'i': -9}, {'q': -58, 'i': -44}, {'q': -36, 'i': -70}, {'q': -10, 'i': -80}, {'q': 21, 'i': -75}, {'q': 49, 'i': -59}]}}
[2021-05-07 13:39:28,561]      root -     INFO - MASTER  : F8:8A:5E:2D:78:08 --> {'type': 'Event', 'command': 'RTLS_CMD_AOA_RESULT_RAW', 'payload': {'connHandle': 0, 'rssi': -64, 'antenna': 1, 'channel': 32, 'offset': 320, 'samplesLength': 624, 'samples': [{'q': 61, 'i': -8}, {'q': 68, 'i': 14}, {'q': 68, 'i': 32}, {'q': 59, 'i': 49}, {'q': 39, 'i': 61}, {'q': 14, 'i': 66}, {'q': -16, 'i': 66}, {'q': -41, 'i': 59}, {'q': -62, 'i': 39}, {'q': -70, 'i': 13}, {'q': -66, 'i': -25}, {'q': -46, 'i': -62}, {'q': -19, 'i': -82}, {'q': 17, 'i': -85}, {'q': 48, 'i': -70}, {'q': 74, 'i': -40}, {'q': 83, 'i': -8}, {'q': 78, 'i': 24}, {'q': 57, 'i': 48}, {'q': 33, 'i': 61}, {'q': 5, 'i': 65}, {'q': -15, 'i': 59}, {'q': -30, 'i': 45}, {'q': -43, 'i': 27}, {'q': -53, 'i': 11}, {'q': -63, 'i': -6}, {'q': -66, 'i': -22}, {'q': -60, 'i': -41}, {'q': -44, 'i': -58}, {'q': -15, 'i': -73}, {'q': 19, 'i': -77}, {'q': 48, 'i': -66}]}}
[2021-05-07 13:39:28,561]      root -     INFO - MASTER  : F8:8A:5E:2D:78:08 --> {'type': 'Event', 'command': 'RTLS_CMD_AOA_RESULT_RAW', 'payload': {'connHandle': 0, 'rssi': -64, 'antenna': 1, 'channel': 32, 'offset': 160, 'samplesLength': 624, 'samples': [{'q': 68, 'i': 39}, {'q': 46, 'i': 60}, {'q': 9, 'i': 71}, {'q': -26, 'i': 67}, {'q': -57, 'i': 50}, {'q': -74, 'i': 22}, {'q': -76, 'i': -8}, {'q': -67, 'i': -39}, {'q': -51, 'i': -61}, {'q': -25, 'i': -77}, {'q': 2, 'i': -79}, {'q': 32, 'i': -67}, {'q': 53, 'i': -44}, {'q': 63, 'i': -18}, {'q': 63, 'i': 10}, {'q': 55, 'i': 34}, {'q': 42, 'i': 54}, {'q': 28, 'i': 65}, {'q': 11, 'i': 69}, {'q': -6, 'i': 66}, {'q': -23, 'i': 60}, {'q': -43, 'i': 52}, {'q': -61, 'i': 40}, {'q': -75, 'i': 17}, {'q': -76, 'i': -12}, {'q': -57, 'i': -47}, {'q': -23, 'i': -72}, {'q': 11, 'i': -78}, {'q': 46, 'i': -65}, {'q': 68, 'i': -42}, {'q': 80, 'i': -10}, {'q': 79, 'i': 19}]}}
[2021-05-07 13:39:28,561]      root -     INFO - MASTER  : F8:8A:5E:2D:78:08 --> {'type': 'Event', 'command': 'RTLS_CMD_AOA_RESULT_RAW', 'payload': {'connHandle': 0, 'rssi': -64, 'antenna': 1, 'channel': 32, 'offset': 96, 'samplesLength': 624, 'samples': [{'q': 23, 'i': 78}, {'q': -10, 'i': 80}, {'q': -38, 'i': 68}, {'q': -61, 'i': 43}, {'q': -70, 'i': 15}, {'q': -67, 'i': -15}, {'q': -56, 'i': -35}, {'q': -39, 'i': -51}, {'q': -21, 'i': -63}, {'q': -3, 'i': -70}, {'q': 17, 'i': -71}, {'q': 33, 'i': -64}, {'q': 50, 'i': -49}, {'q': 63, 'i': -29}, {'q': 71, 'i': -4}, {'q': 70, 'i': 25}, {'q': 55, 'i': 50}, {'q': 21, 'i': 68}, {'q': -16, 'i': 68}, {'q': -53, 'i': 51}, {'q': -74, 'i': 29}, {'q': -81, 'i': -2}, {'q': -72, 'i': -32}, {'q': -54, 'i': -55}, {'q': -28, 'i': -71}, {'q': -2, 'i': -75}, {'q': 24, 'i': -68}, {'q': 42, 'i': -53}, {'q': 58, 'i': -30}, {'q': 66, 'i': -3}, {'q': 64, 'i': 22}, {'q': 50, 'i': 46}]}}
[2021-05-07 13:39:28,561]      root -     INFO - MASTER  : F8:8A:5E:2D:78:08 --> {'type': 'Event', 'command': 'RTLS_CMD_AOA_RESULT_RAW', 'payload': {'connHandle': 0, 'rssi': -64, 'antenna': 1, 'channel': 32, 'offset': 192, 'samplesLength': 624, 'samples': [{'q': 65, 'i': 48}, {'q': 38, 'i': 66}, {'q': 10, 'i': 70}, {'q': -20, 'i': 65}, {'q': -42, 'i': 51}, {'q': -59, 'i': 29}, {'q': -64, 'i': 5}, {'q': -60, 'i': -23}, {'q': -50, 'i': -46}, {'q': -40, 'i': -62}, {'q': -26, 'i': -72}, {'q': -11, 'i': -75}, {'q': 11, 'i': -72}, {'q': 33, 'i': -62}, {'q': 55, 'i': -43}, {'q': 68, 'i': -17}, {'q': 68, 'i': 11}, {'q': 55, 'i': 42}, {'q': 29, 'i': 65}, {'q': -7, 'i': 80}, {'q': -40, 'i': 77}, {'q': -67, 'i': 56}, {'q': -80, 'i': 23}, {'q': -80, 'i': -9}, {'q': -69, 'i': -42}, {'q': -49, 'i': -60}, {'q': -22, 'i': -69}, {'q': 4, 'i': -67}, {'q': 32, 'i': -55}, {'q': 54, 'i': -38}, {'q': 65, 'i': -18}, {'q': 67, 'i': 9}]}}
[2021-05-07 13:39:28,561]      root -     INFO - MASTER  : F8:8A:5E:2D:78:08 --> {'type': 'Event', 'command': 'RTLS_CMD_AOA_RESULT_RAW', 'payload': {'connHandle': 0, 'rssi': -64, 'antenna': 1, 'channel': 32, 'offset': 288, 'samplesLength': 624, 'samples': [{'q': 74, 'i': 9}, {'q': 63, 'i': 36}, {'q': 43, 'i': 53}, {'q': 14, 'i': 62}, {'q': -12, 'i': 61}, {'q': -36, 'i': 50}, {'q': -52, 'i': 35}, {'q': -63, 'i': 13}, {'q': -67, 'i': -11}, {'q': -64, 'i': -31}, {'q': -56, 'i': -49}, {'q': -45, 'i': -60}, {'q': -23, 'i': -69}, {'q': 3, 'i': -72}, {'q': 34, 'i': -66}, {'q': 59, 'i': -51}, {'q': 71, 'i': -30}, {'q': 69, 'i': 1}, {'q': 55, 'i': 30}, {'q': 30, 'i': 60}, {'q': 2, 'i': 74}, {'q': -28, 'i': 75}, {'q': -55, 'i': 57}, {'q': -72, 'i': 30}, {'q': -79, 'i': -6}, {'q': -72, 'i': -35}, {'q': -49, 'i': -59}, {'q': -22, 'i': -67}, {'q': 6, 'i': -66}, {'q': 28, 'i': -58}, {'q': 41, 'i': -45}, {'q': 52, 'i': -27}]}}
