,pkt,Channel,ant_info,I,Q,Magnitude,time_stamp,sample_idx,time_per_channel
4,0,32,(91+63j),91,63,110.67971810589327,11.0,44,11.0
5,0,32,(108+20j),108,20,109.83624174196785,11.25,45,11.25
6,0,32,(103-24j),103,-24,105.75916035975324,11.5,46,11.5
7,0,32,(77-68j),77,-68,102.7277956543408,11.75,47,11.75
16,0,32,(-103-10j),-103,-10,103.4842983258813,17.0,68,17.0
17,0,32,(-100+35j),-100,35,105.94810050208545,17.25,69,17.25
18,0,32,(-79+68j),-79,68,104.23531071570709,17.5,70,17.5
19,0,32,(-42+93j),-42,93,102.04410811016969,17.75,71,17.75
28,0,32,(83-48j),83,-48,95.88013350011565,23.0,92,23.0
29,0,32,(61-80j),61,-80,100.60318086422517,23.25,93,23.25
30,0,32,(19-100j),19,-100,101.78899744078434,23.5,94,23.5
31,0,32,(-23-99j),-23,-99,101.6366075781753,23.75,95,23.75
40,0,32,(-52+91j),-52,91,104.80935072788114,29.0,116,29.0
41,0,32,(-12+108j),-12,108,108.664621657649,29.25,117,29.25
42,0,32,(31+101j),31,101,105.65036677645753,29.5,118,29.5
43,0,32,(66+82j),66,82,105.26157893552613,29.75,119,29.75
52,0,32,(-2-104j),-2,-104,104.01922899156675,35.0,140,35.0
53,0,32,(-42-98j),-42,-98,106.62082348209472,35.25,141,35.25
54,0,32,(-70-73j),-70,-73,101.13851887386922,35.5,142,35.5
55,0,32,(-90-32j),-90,-32,95.51963149007642,35.75,143,35.75
64,0,32,(33+94j),33,94,99.62429422585637,41.0,164,41.0
65,0,32,(72+72j),72,72,101.82337649086284,41.25,165,41.25
66,0,32,(95+35j),95,35,101.24228365658294,41.5,166,41.5
67,0,32,(103-16j),103,-16,104.23531071570709,41.75,167,41.75
76,0,32,(-87-46j),-87,-46,98.41239759298622,47.0,188,47.0
77,0,32,(-103-10j),-103,-10,103.4842983258813,47.25,189,47.25
78,0,32,(-98+35j),-98,35,104.06248123122954,47.5,190,47.5
79,0,32,(-77+70j),-77,70,104.06248123122954,47.75,191,47.75
88,0,32,(102+7j),102,7,102.23991392797629,53.0,212,53.0
89,0,32,(92-39j),92,-39,99.92497185388645,53.25,213,53.25
90,0,32,(63-74j),63,-74,97.18538984847466,53.5,214,53.5
91,0,32,(28-92j),28,-92,96.16652224137046,53.75,215,53.75
100,0,32,(-98+38j),-98,38,105.1094667477673,59.0,236,59.0
101,0,32,(-77+75j),-77,75,107.48953437428223,59.25,237,59.25
102,0,32,(-41+96j),-41,96,104.38869670610895,59.5,238,59.5
103,0,32,(9+102j),9,102,102.39628899525607,59.75,239,59.75
112,0,32,(45-85j),45,-85,96.17692030835673,65.0,260,65.0
113,0,32,(2-98j),2,-98,98.02040603874276,65.25,261,65.25
114,0,32,(-39-91j),-39,-91,99.00505037623081,65.5,262,65.5
115,0,32,(-78-66j),-78,-66,102.17631819555841,65.75,263,65.75
124,0,32,(2+104j),2,104,104.01922899156675,71.0,284,71.0
125,0,32,(38+101j),38,101,107.91200118615167,71.25,285,71.25
126,0,32,(71+74j),71,74,102.55242561733974,71.5,286,71.5
127,0,32,(92+37j),92,37,99.16148445843275,71.75,287,71.75
136,0,32,(-39-93j),-39,-93,100.84641788382967,77.0,308,77.0
137,0,32,(-78-72j),-78,-72,106.15083607772479,77.25,309,77.25
138,0,32,(-101-32j),-101,-32,105.94810050208545,77.5,310,77.5
139,0,32,(-106+9j),-106,9,106.38138934982942,77.75,311,77.75
148,0,32,(79+58j),79,58,98.00510190801293,83.0,332,83.0
149,0,32,(99+20j),99,20,101.0,83.25,333,83.25
150,0,32,(98-21j),98,-21,100.22474744293447,83.5,334,83.5
151,0,32,(78-66j),78,-66,102.17631819555841,83.75,335,83.75
160,0,32,(-99-14j),-99,-14,99.98499887483122,89.0,356,89.0
161,0,32,(-97+31j),-97,31,101.83319694480774,89.25,357,89.25
162,0,32,(-76+64j),-76,64,99.35793878699377,89.5,358,89.5
163,0,32,(-38+88j),-38,88,95.85405573057407,89.75,359,89.75
172,0,32,(87-46j),87,-46,98.41239759298622,95.0,380,95.0
173,0,32,(65-81j),65,-81,103.85566907973777,95.25,381,95.25
174,0,32,(23-100j),23,-100,102.61091559868278,95.5,382,95.5
175,0,32,(-20-101j),-20,-101,102.96115772464877,95.75,383,95.75
184,0,32,(-62+85j),-62,85,105.20931517693668,101.0,404,101.0
185,0,32,(-22+106j),-22,106,108.25894882179486,101.25,405,101.25
186,0,32,(26+102j),26,102,105.26157893552613,101.5,406,101.5
187,0,32,(65+79j),65,79,102.30347012687302,101.75,407,101.75
196,0,32,(8-104j),8,-104,104.30723848324239,107.0,428,107.0
197,0,32,(-36-102j),-36,-102,108.16653826391968,107.25,429,107.25
198,0,32,(-70-81j),-70,-81,107.05606008068857,107.5,430,107.5
199,0,32,(-98-43j),-98,-43,107.01868995647442,107.75,431,107.75
208,0,32,(33+90j),33,90,95.85927185202274,113.0,452,113.0
209,0,32,(69+67j),69,67,96.17692030835673,113.25,453,113.25
210,0,32,(89+34j),89,34,95.2732911156112,113.5,454,113.5
211,0,32,(95-9j),95,-9,95.42536350467836,113.75,455,113.75
220,0,32,(-90-51j),-90,-51,103.4456378974,119.0,476,119.0
221,0,32,(-109-13j),-109,-13,109.77249200050075,119.25,477,119.25
222,0,32,(-103+34j),-103,34,108.4665847162157,119.5,478,119.5
223,0,32,(-81+71j),-81,71,107.71258050942797,119.75,479,119.75
232,0,32,(96+15j),96,15,97.16480844420988,125.0,500,125.0
233,0,32,(100-30j),100,-30,104.4030650891055,125.25,501,125.25
234,0,32,(80-72j),80,-72,107.62899237658968,125.5,502,125.5
235,0,32,(46-98j),46,-98,108.25894882179486,125.75,503,125.75
244,0,32,(-96+29j),-96,29,100.2845950283492,131.0,524,131.0
245,0,32,(-74+68j),-74,68,100.4987562112089,131.25,525,131.25
246,0,32,(-40+92j),-40,92,100.31948963187563,131.5,526,131.5
247,0,32,(6+102j),6,102,102.17631819555841,131.75,527,131.75
256,0,32,(46-87j),46,-87,98.41239759298622,137.0,548,137.0
257,0,32,(3-102j),3,-102,102.04410811016969,137.25,549,137.25
258,0,32,(-36-94j),-36,-94,100.65783625729296,137.5,550,137.5
259,0,32,(-72-68j),-72,-68,99.03534722511958,137.75,551,137.75
268,0,32,(2+102j),2,102,102.0196059588548,143.0,572,143.0
269,0,32,(39+98j),39,98,105.47511554864494,143.25,573,143.25
270,0,32,(75+72j),75,72,103.96634070698074,143.5,574,143.5
271,0,32,(96+37j),96,37,102.88342918079665,143.75,575,143.75
280,0,32,(-35-99j),-35,-99,105.00476179678711,149.0,596,149.0
281,0,32,(-77-76j),-77,-76,108.18964830333815,149.25,597,149.25
282,0,32,(-101-35j),-101,-35,106.89246933250256,149.5,598,149.5
283,0,32,(-104+10j),-104,10,104.47966309287182,149.75,599,149.75
300,1,15,(-109-133j),-109,-133,171.95929750961417,167.0,44,11.0
301,1,15,(-148-83j),-148,-83,169.6850022836432,167.25,45,11.25
302,1,15,(-167-7j),-167,-7,167.14664220378464,167.5,46,11.5
303,1,15,(-155+61j),-155,61,166.57130605239308,167.75,47,11.75
312,1,15,(148+83j),148,83,169.6850022836432,173.0,68,17.0
313,1,15,(164+27j),164,27,166.20770138594662,173.25,69,17.25
314,1,15,(155-49j),155,-49,162.5607578722491,173.5,70,17.5
315,1,15,(121-113j),121,-113,165.55965692160635,173.75,71,17.75
324,1,15,(-172+5j),-172,5,172.07265907168403,179.0,92,23.0
325,1,15,(-156+69j),-156,69,170.57842770995398,179.25,93,23.25
326,1,15,(-108+131j),-108,131,169.77926846349644,179.5,94,23.5
327,1,15,(-49+164j),-49,164,171.1636643683466,179.75,95,23.75
336,1,15,(156-57j),156,-57,166.0873264279969,185.0,116,29.0
337,1,15,(125-111j),125,-111,167.17057157286985,185.25,117,29.25
338,1,15,(60-154j),60,-154,165.27552752903256,185.5,118,29.5
339,1,15,(-8-164j),-8,-164,164.19500601419034,185.75,119,29.75
348,1,15,(-106+137j),-106,137,173.21951391226105,191.0,140,35.0
349,1,15,(-50+165j),-50,165,172.40939649566667,191.25,141,35.25
350,1,15,(27+166j),27,166,168.1814496310458,191.5,142,35.5
351,1,15,(93+142j),93,142,169.7439247808298,191.75,143,35.75
360,1,15,(33-174j),33,-174,177.1016657177453,197.0,164,41.0
361,1,15,(-36-173j),-36,-173,176.70597047072292,197.25,165,41.25
362,1,15,(-99-142j),-99,-142,173.1040149736568,197.5,166,41.5
363,1,15,(-149-78j),-149,-78,168.1814496310458,197.75,167,41.75
372,1,15,(15+175j),15,175,175.64168070250295,203.0,188,47.0
373,1,15,(81+156j),81,156,175.775424903483,203.25,189,47.25
374,1,15,(133+109j),133,109,171.95929750961417,203.5,190,47.5
375,1,15,(169+36j),169,36,172.7917822120022,203.75,191,47.75
384,1,15,(-96-144j),-96,-144,173.0664612222715,209.0,212,53.0
385,1,15,(-144-92j),-144,-92,170.88007490635061,209.25,213,53.25
386,1,15,(-168-28j),-168,-28,170.31735084835015,209.5,214,53.5
387,1,15,(-163+52j),-163,52,171.09354166653983,209.75,215,53.75
396,1,15,(141+89j),141,89,166.73931749890306,215.0,236,59.0
397,1,15,(164+22j),164,22,165.46903033498444,215.25,237,59.25
398,1,15,(159-45j),159,-45,165.24527224704494,215.5,238,59.5
399,1,15,(125-113j),125,-113,168.50519279832298,215.75,239,59.75
408,1,15,(-172-21j),-172,-21,173.27723451163456,221.0,260,65.0
409,1,15,(-164+47j),-164,47,170.60187572239644,221.25,261,65.25
