phi12_correction,phi23_correction,phi13_correction,channel,omega,ex_phi12
-0.48205686590183405,-0.8208252737139333,-2.2818373170593866,19,2444.25,1.7903556731967833
-0.46594238300919644,-0.8047107908212957,-2.2496083512741114,9,2422.25,1.7742411903041457
-0.4747321009506351,-0.8135005087627344,-2.2671877871569888,14,2434.25,1.7830309082455844
-0.4586176180579975,-0.7973860258700968,-2.2349588213717135,4,2412.25,1.7669164253529468
-0.48938163085303277,-0.828150038665132,-2.296486846961784,24,2454.25,1.797680438147982
-0.47619705394087486,-0.8149654617529741,-2.2701176931374683,15,2436.25,1.7844958612358242
-0.4674073359994364,-0.8061757438115357,-2.2525382572545913,10,2424.25,1.7757061432943857
-0.46008257104823724,-0.7988509788603365,-2.237888727352193,5,2414.25,1.7683813783431865
-0.4527578060970383,-0.7915262139091376,-2.223239197449795,0,2404.25,1.7610566133919876
-0.5011012547749509,-0.8398696625870502,-2.3199260948056204,32,2470.25,1.8094000620699002
-0.4864517248725533,-0.8252201326846526,-2.290627035000825,22,2450.25,1.7947505321675026
-0.47912695992135435,-0.8178953677334536,-2.2759775050984272,17,2440.25,1.7874257672163036
-0.47180219497015563,-0.8105706027822549,-2.26132797519603,12,2430.25,1.780101002265105
-0.46301247702871673,-0.801780884840816,-2.243748539313152,7,2418.25,1.771311284323666
-0.455687712077518,-0.7944561198896173,-2.2290990094107546,2,2408.25,1.7639865193724673
-0.5040311607554304,-0.8427995685675297,-2.3257859067665794,34,2474.25,1.8123299680503797
-0.4644774300189567,-0.803245837831056,-2.246678445293632,8,2420.25,1.772776237313906
-0.45715266506775776,-0.795921072879857,-2.232028915391234,3,2410.25,1.765451472362707
-0.4747321009506351,-0.8135005087627344,-2.2671877871569888,14,2434.25,1.7830309082455844
-0.46594238300919644,-0.8047107908212957,-2.2496083512741114,9,2422.25,1.7742411903041457
-0.4586176180579975,-0.7973860258700968,-2.2349588213717135,4,2412.25,1.7669164253529468
-0.47619705394087486,-0.8149654617529741,-2.2701176931374683,15,2436.25,1.7844958612358242
-0.4674073359994364,-0.8061757438115357,-2.2525382572545913,10,2424.25,1.7757061432943857
-0.4937764898237522,-0.8325448976358515,-2.305276564903223,27,2460.25,1.8020752971187015
-0.5011012547749509,-0.8398696625870502,-2.3199260948056204,32,2470.25,1.8094000620699002
-0.4864517248725533,-0.8252201326846526,-2.290627035000825,22,2450.25,1.7947505321675026
-0.4527578060970383,-0.7915262139091376,-2.223239197449795,0,2404.25,1.7610566133919876
-0.46008257104823724,-0.7988509788603365,-2.237888727352193,5,2414.25,1.7683813783431865
-0.455687712077518,-0.7944561198896173,-2.2290990094107546,2,2408.25,1.7639865193724673
-0.5040311607554304,-0.8427995685675297,-2.3257859067665794,34,2474.25,1.8123299680503797
-0.46301247702871673,-0.801780884840816,-2.243748539313152,7,2418.25,1.771311284323666
-0.47912695992135435,-0.8178953677334536,-2.2759775050984272,17,2440.25,1.7874257672163036
-0.47180219497015563,-0.8105706027822549,-2.26132797519603,12,2430.25,1.780101002265105
-0.4967063958042317,-0.835474803616331,-2.311136376864182,29,2464.25,1.805005203099181
-0.49817134879447145,-0.8369397566065707,-2.3140662828446614,30,2466.25,1.8064701560894207
-0.48205686590183405,-0.8208252737139333,-2.2818373170593866,19,2444.25,1.7903556731967833
-0.48938163085303277,-0.828150038665132,-2.296486846961784,24,2454.25,1.797680438147982
-0.4908465838432725,-0.8296149916553718,-2.2994167529422636,25,2456.25,1.7991453911382218
-0.4835218188920738,-0.8222902267041731,-2.284767223039866,20,2446.25,1.791820626187023
-0.49231153683351225,-0.8310799446456115,-2.302346658922743,26,2458.25,1.8006103441284615
-0.4996363017847112,-0.8384047095968105,-2.316996188825141,31,2468.25,1.8079351090796605
-0.48498677188231354,-0.8237551796944128,-2.2876971290203456,21,2448.25,1.7932855791772628
-0.4776620069311146,-0.8164304147432139,-2.2730475991179477,16,2438.25,1.785960814226064
-0.4703372419799159,-0.8091056497920152,-2.2583980692155503,11,2428.25,1.7786360492748652
-0.4615475240384772,-0.8003159318505765,-2.240818633332673,6,2416.25,1.7698463313334265
-0.45422275908727805,-0.7929911668993773,-2.2261691034302746,1,2406.25,1.7625215663822273
-0.5025662077651907,-0.84133461557729,-2.3228560007861,33,2472.25,1.81086501506014
-0.49524144281399196,-0.8340098506260912,-2.3082064708837025,28,2462.25,1.8035402501089413
-0.487916677862793,-0.8266850856748923,-2.2935569409813046,23,2452.25,1.7962154851577423
-0.4805919129115941,-0.8193603207236934,-2.2789074110789067,18,2442.25,1.7888907202065434
-0.4732671479603954,-0.8120355557724946,-2.2642578811765093,13,2432.25,1.7815659552553447
-0.4644774300189567,-0.803245837831056,-2.246678445293632,8,2420.25,1.772776237313906
-0.48205686590183405,-0.8208252737139333,-2.2818373170593866,19,2444.25,1.7903556731967833
-0.4908465838432725,-0.8296149916553718,-2.2994167529422636,25,2456.25,1.7991453911382218
-0.49817134879447145,-0.8369397566065707,-2.3140662828446614,30,2466.25,1.8064701560894207
