pkt,channel,phi_ant1,phi_ant2,phi_ant3,t_ant1,t_ant2,t_ant3,meg_ant1,meg_ant2,meg_ant3
0,15,-173.22945245521527,115.00063935668837,140.88016252588258,10.75,10.0,10.25,220.53797858872292,212.9530464679949,213.96495040076076
0,15,46.73570458892839,-55.478613119527296,-32.51453250914285,12.75,12.0,12.25,140.07141035914506,229.39267643061316,202.7856010667424
0,15,-101.70057946281584,-172.71104767638985,-147.40288312176526,14.75,14.0,14.25,172.58621034138272,173.40126873814967,174.4849563716024
0,15,113.48411529050487,18.13808215559732,46.67763946615347,16.75,16.0,16.25,158.09490820390135,183.09833423600554,169.07099100673656
0,15,-48.26428372401853,-120.49625827996651,-98.30346273136307,18.75,18.0,18.25,186.27130750601398,189.16923639957955,186.9598887462228
0,15,74.63006024922198,69.88327483154447,79.21570213243741,20.75,20.0,20.25,218.82641522448796,183.1747799234381,192.3980249378876
0,15,-127.07767834699932,166.08750532347997,-172.3718503314193,22.75,22.0,22.25,220.6014505845326,224.5885126180767,226.0
0,15,100.4160283075707,-8.726135776298722,15.442446600069568,24.75,24.0,24.25,138.27870407260838,217.51781536232846,187.77912557044246
0,15,-49.911788172506,-122.27564431457763,-96.30544597726863,26.75,26.0,26.25,181.6865432551349,179.77764043395385,182.1016199818113
0,15,159.6889815668385,66.97450799147197,92.13425876250228,28.75,28.0,28.25,164.21023110634732,173.85051049680584,161.11176245079062
0,15,-2.5168756569395163,-74.31000707091613,-52.50734666694965,30.75,30.0,30.25,182.17573932881405,184.88915598271302,184.0108692441835
0,15,123.04551719750694,118.53513659869229,126.34745820888529,32.75,32.0,32.25,221.89411889457546,182.12358441453975,197.4082065163452
0,15,-71.39752013547613,-144.61067966909349,-122.67222928868313,34.75,34.0,34.25,216.3007165961315,224.47494292236718,218.58636736997119
0,15,150.57254359681028,43.38393334931426,69.13237959458083,36.75,36.0,36.25,134.33167906342868,225.656819085974,193.70596273734063
0,15,0.32008482378166875,-67.27850184678071,-42.929969346958906,38.75,38.0,38.25,179.00279327429504,173.46181135915768,176.18456232031227
0,15,-145.369199619743,121.54676469354462,147.40288312176526,40.75,40.0,40.25,168.92897915988246,185.39956850003722,174.4849563716024
0,15,50.79921762909842,-23.239254651258545,1.8881880067409305,42.75,42.0,42.25,181.95054273071017,185.0108104949546,182.09887424144057
0,15,175.6839724801344,170.94656133782624,-178.83086067209254,44.75,44.0,44.25,212.60291625469296,184.29595763336755,196.04081207748558
0,15,-22.959717295756203,-94.74178975451906,-71.64893952052161,46.75,46.0,46.25,220.4654167891191,217.74526401279087,215.9837956884729
0,15,-160.60218755144174,92.53355888839458,119.49746120836838,48.75,48.0,48.25,150.54567413247048,226.22113075484347,201.06217943710843
0,15,41.912348715014936,-26.41700039673366,-5.644622205786093,50.75,50.0,50.25,170.66048165876012,173.07223925286223,172.8380745090618
0,15,-99.07705380092945,165.66456458047992,-168.4325601384009,52.75,52.0,52.25,171.14321488157222,185.78482176970215,174.5451231057459
0,15,98.34795597925314,26.425984024166876,50.19442890773481,54.75,54.0,54.25,185.9704277566732,184.25254408012933,179.63574254585305
0,15,-140.50320556848862,-142.58037293812362,-134.17565717915483,56.75,56.0,56.25,213.82469455140114,187.608635195718,196.596032513375
0,15,24.335399056743697,-50.52754015165618,-23.50904022419246,58.75,58.0,58.25,218.40558600914952,220.22715545545242,218.1031865883669
0,15,-116.74522599044623,140.7660227682365,167.6972736747573,60.75,60.0,60.25,142.2146265332789,218.1857007230309,192.41881404893857
0,15,90.67403689798452,23.702645950966243,44.76989770490278,62.75,62.0,62.25,170.01176429882727,179.10890541790488,176.07100840286
0,15,-48.6834863891605,-148.8723856319601,-118.25424946167992,64.75,64.0,64.25,165.0969412193939,179.90275150758538,166.88319268278636
0,15,143.79489696544334,74.55755339993044,96.44160009933505,66.75,66.0,66.25,189.61276328348785,187.77912557044246,187.18172987767795
0,15,-95.38931175997341,-95.22220194458677,-87.66269414087618,68.75,68.0,68.25,212.94130646729863,186.77526602845464,196.1631973638277
0,15,69.56717132060132,-5.710593137499642,20.556045219583464,70.75,70.0,70.25,217.69703718700444,221.09726366465958,222.14409737825585
0,15,-62.86954829965322,-172.4567737096011,-147.96303147013643,72.75,72.0,72.25,135.95955280891442,220.91174708466727,192.28364465029262
0,15,146.0353541630349,79.87532834460221,101.70057946281584,74.75,74.0,74.25,173.62315513778682,170.65755183993468,172.58621034138272
0,15,2.070030653041098,-97.28166880753507,-67.11646558554305,76.75,76.0,76.25,166.10839834276894,181.463494951464,167.1556161186336
0,15,-159.55045238920744,128.05720496157286,150.62595999388589,78.75,78.0,78.25,188.904737897174,193.04144632694812,191.637678967368
0,15,-42.41420565757551,-46.77604425335875,-38.33869836022985,80.75,80.0,80.25,219.42652528807903,182.52123164169151,195.06409203131162
0,15,116.33768816608742,47.99313200597907,72.55281157671782,82.75,82.0,82.25,225.39742678211744,216.67025638051942,220.1272359341297
0,15,-15.179927434526244,-123.54371847129806,-99.16234704572172,84.75,84.0,84.25,133.6637572418193,217.16583525039107,188.403821617291
0,15,-170.74659493176858,118.45483547778984,143.19426333463022,86.75,86.0,86.25,180.34688796871438,176.2980430974774,178.60011198204776
0,15,41.45523354440513,-51.388747479635995,-23.824260582895423,88.75,88.0,88.25,160.11246047700345,184.2851052038661,168.34488409215172
0,15,-119.70701231401422,167.64171494068242,-168.93649946665673,90.75,90.0,90.25,187.66459442313567,182.22239159883728,182.38969269122643
0,15,7.024732123106732,-0.6330767714311314,11.888658039627972,92.75,92.0,92.25,212.59586073110646,181.01104938649465,194.164878389476
0,15,170.9723870492849,97.37672600694529,119.9383384554538,94.75,94.0,94.25,216.68410186259624,225.86943130932968,220.41097976280585
0,15,34.81137199154652,-67.38013505195957,-42.35119424054137,96.75,96.0,96.25,155.90060936378666,221.0,198.90952717253137
