,pkt,Channel,ant_info,I,Q,Magnitude,time_stamp,sample_idx,time_per_channel
4,0,0,(74+85j),74,85,112.69871339105873,11.0,44,11.0
5,0,0,(101+44j),101,44,110.16805344563369,11.25,45,11.25
6,0,0,(112+3j),112,3,112.04017136723775,11.5,46,11.5
7,0,0,(109-39j),109,-39,115.76700738984316,11.75,47,11.75
16,0,0,(-76+40j),-76,40,85.88364221433555,17.0,68,17.0
17,0,0,(-52+78j),-52,78,93.74433316206373,17.25,69,17.25
18,0,0,(-19+96j),-19,96,97.86214794290998,17.5,70,17.5
19,0,0,(21+92j),21,92,94.36630754670864,17.75,71,17.75
28,0,0,(72+91j),72,91,116.03878661895772,23.0,92,23.0
29,0,0,(100+56j),100,56,114.61239025515522,23.25,93,23.25
30,0,0,(117+6j),117,6,117.15374513859982,23.5,94,23.5
31,0,0,(115-42j),115,-42,122.42957159118053,23.75,95,23.75
40,0,0,(-72+44j),-72,44,84.38009243891595,29.0,116,29.0
41,0,0,(-44+81j),-44,81,92.17917335276988,29.25,117,29.25
42,0,0,(-12+91j),-12,91,91.7877987534291,29.5,118,29.5
43,0,0,(17+86j),17,86,87.66413177577246,29.75,119,29.75
52,0,0,(70+85j),70,85,110.11357772772621,35.0,140,35.0
53,0,0,(97+49j),97,49,108.67382389517726,35.25,141,35.25
54,0,0,(109+8j),109,8,109.29318368498559,35.5,142,35.5
55,0,0,(105-36j),105,-36,111.0,35.75,143,35.75
64,0,0,(-75+39j),-75,39,84.53401682163222,41.0,164,41.0
65,0,0,(-52+69j),-52,69,86.40023148117139,41.25,165,41.25
66,0,0,(-20+83j),-20,83,85.37564055396598,41.5,166,41.5
67,0,0,(18+83j),18,83,84.92938243034621,41.75,167,41.75
76,0,0,(76+85j),76,85,114.02192771568107,47.0,188,47.0
77,0,0,(102+49j),102,49,113.1591799192624,47.25,189,47.25
78,0,0,(117-1j),117,-1,117.00427342623003,47.5,190,47.5
79,0,0,(112-47j),112,-47,121.46192819151193,47.75,191,47.75
88,0,0,(-78+37j),-78,37,86.33075929238663,53.0,212,53.0
89,0,0,(-53+78j),-53,78,94.30270409696638,53.25,213,53.25
90,0,0,(-21+92j),-21,92,94.36630754670864,53.5,214,53.5
91,0,0,(12+90j),12,90,90.79647570252934,53.75,215,53.75
100,0,0,(80+81j),80,81,113.84638773364749,59.0,236,59.0
101,0,0,(110+42j),110,42,117.74548823628021,59.25,237,59.25
102,0,0,(120+0j),120,0,120.0,59.5,238,59.5
103,0,0,(114-45j),114,-45,122.56018929489298,59.75,239,59.75
112,0,0,(-75+35j),-75,35,82.76472678623425,65.0,260,65.0
113,0,0,(-52+67j),-52,67,84.81155581640984,65.25,261,65.25
114,0,0,(-22+81j),-22,81,83.93449827097318,65.5,262,65.5
115,0,0,(15+82j),15,82,83.3606621854697,65.75,263,65.75
124,0,0,(82+80j),82,80,114.56002793295748,71.0,284,71.0
125,0,0,(106+46j),106,46,115.55085460523432,71.25,285,71.25
126,0,0,(116-3j),116,-3,116.03878661895772,71.5,286,71.5
127,0,0,(108-47j),108,-47,117.78370006074695,71.75,287,71.75
136,0,0,(-81+39j),-81,39,89.89994438263018,77.0,308,77.0
137,0,0,(-53+74j),-53,74,91.02197536858887,77.25,309,77.25
138,0,0,(-21+85j),-21,85,87.55569655939013,77.5,310,77.5
139,0,0,(12+81j),12,81,81.88406438373708,77.75,311,77.75
148,0,0,(78+75j),78,75,108.2081327812286,83.0,332,83.0
149,0,0,(102+36j),102,36,108.16653826391968,83.25,333,83.25
150,0,0,(112-2j),112,-2,112.01785571952357,83.5,334,83.5
151,0,0,(108-40j),108,-40,115.16944039110375,83.75,335,83.75
160,0,0,(-71+42j),-71,42,82.49242389456137,89.0,356,89.0
161,0,0,(-45+75j),-45,75,87.46427842267951,89.25,357,89.25
162,0,0,(-13+86j),-13,86,86.97700845625813,89.5,358,89.5
163,0,0,(20+79j),20,79,81.49233092751734,89.75,359,89.75
172,0,0,(74+85j),74,85,112.69871339105873,95.0,380,95.0
173,0,0,(99+54j),99,54,112.76967677527502,95.25,381,95.25
174,0,0,(113+10j),113,10,113.44161493913951,95.5,382,95.5
175,0,0,(111-32j),111,-32,115.52056094046635,95.75,383,95.75
184,0,0,(-82+32j),-82,32,88.02272433866155,101.0,404,101.0
185,0,0,(-56+72j),-56,72,91.21403400793103,101.25,405,101.25
186,0,0,(-22+89j),-22,89,91.67878707749138,101.5,406,101.5
187,0,0,(15+90j),15,90,91.2414379544733,101.75,407,101.75
196,0,0,(72+81j),72,81,108.37435120913067,107.0,428,107.0
197,0,0,(99+46j),99,46,109.16501271011697,107.25,429,107.25
198,0,0,(113+6j),113,6,113.1591799192624,107.5,430,107.5
199,0,0,(113-40j),113,-40,119.87076374162301,107.75,431,107.75
208,0,0,(-73+36j),-73,36,81.39410298049853,113.0,452,113.0
209,0,0,(-52+72j),-52,72,88.81441324469807,113.25,453,113.25
210,0,0,(-20+89j),-20,89,91.21951545584969,113.5,454,113.5
211,0,0,(20+85j),20,85,87.32124598286491,113.75,455,113.75
220,0,0,(81+83j),81,83,115.97413504743201,119.0,476,119.0
221,0,0,(105+46j),105,46,114.63420083029322,119.25,477,119.25
222,0,0,(113-6j),113,-6,113.1591799192624,119.5,478,119.5
223,0,0,(101-52j),101,-52,113.6001760562016,119.75,479,119.75
232,0,0,(-81+40j),-81,40,90.33825324855468,125.0,500,125.0
233,0,0,(-52+76j),-52,76,92.0869154657707,125.25,501,125.25
234,0,0,(-17+88j),-17,88,89.62700485902673,125.5,502,125.5
235,0,0,(17+83j),17,83,84.72307831990054,125.75,503,125.75
244,0,0,(75+85j),75,85,113.35784048754634,131.0,524,131.0
245,0,0,(103+45j),103,45,112.40106761058811,131.25,525,131.25
246,0,0,(113+0j),113,0,113.0,131.5,526,131.5
247,0,0,(107-45j),107,-45,116.0775602776006,131.75,527,131.75
256,0,0,(-74+43j),-74,43,85.58621384311844,137.0,548,137.0
257,0,0,(-50+74j),-50,74,89.30845424706443,137.25,549,137.25
258,0,0,(-18+86j),-18,86,87.86353054595519,137.5,550,137.5
259,0,0,(19+82j),19,82,84.17244204607586,137.75,551,137.75
268,0,0,(82+80j),82,80,114.56002793295748,143.0,572,143.0
269,0,0,(104+44j),104,44,112.92475370794483,143.25,573,143.25
270,0,0,(111-6j),111,-6,111.16204388189342,143.5,574,143.5
271,0,0,(101-51j),101,-51,113.14592347937243,143.75,575,143.75
280,0,0,(-75+38j),-75,38,84.07734534343957,149.0,596,149.0
281,0,0,(-49+76j),-49,76,90.4267659490264,149.25,597,149.25
282,0,0,(-17+90j),-17,90,91.59148432032315,149.5,598,149.5
283,0,0,(19+88j),19,88,90.02777349240623,149.75,599,149.75
300,1,26,(-116-137j),-116,-137,179.51323071016242,167.0,44,11.0
301,1,26,(-160-87j),-160,-87,182.12358441453978,167.25,45,11.25
302,1,26,(-187-18j),-187,-18,187.8643127366132,167.5,46,11.5
303,1,26,(-184+52j),-184,52,191.2066944434739,167.75,47,11.75
312,1,26,(202+54j),202,54,209.093280618962,173.0,68,17.0
313,1,26,(202-45j),202,-45,206.95168518279817,173.25,69,17.25
314,1,26,(168-123j),168,-123,208.21383239352758,173.5,70,17.5
315,1,26,(100-184j),100,-184,209.41824180333478,173.75,71,17.75
324,1,26,(-159-96j),-159,-96,185.73368030596927,179.0,92,23.0
325,1,26,(-185-25j),-185,-25,186.6815470259447,179.25,93,23.25
326,1,26,(-186+42j),-186,42,190.68298298484845,179.5,94,23.5
327,1,26,(-160+115j),-160,115,197.0406049523803,179.75,95,23.75
336,1,26,(214-15j),214,-15,214.5250568115529,185.0,116,29.0
337,1,26,(191-95j),191,-95,213.32135383031863,185.25,117,29.25
338,1,26,(136-160j),136,-160,209.990475974507,185.5,118,29.5
339,1,26,(62-196j),62,-196,205.5723716845238,185.75,119,29.75
348,1,26,(-160-92j),-160,-92,184.56435192094924,191.0,140,35.0
349,1,26,(-183-27j),-183,-27,184.98108011361595,191.25,141,35.25
350,1,26,(-178+54j),-178,54,186.01075237738274,191.5,142,35.5
351,1,26,(-147+120j),-147,120,189.76037521042164,191.75,143,35.75
360,1,26,(208-37j),208,-37,211.26523613694707,197.0,164,41.0
361,1,26,(167-131j),167,-131,212.24985276791125,197.25,165,41.25
362,1,26,(105-183j),105,-183,210.98341167020692,197.5,166,41.5
363,1,26,(21-208j),21,-208,209.05740838343903,197.75,167,41.75
372,1,26,(-182-61j),-182,-61,191.9505144562004,203.0,188,47.0
373,1,26,(-187+21j),-187,21,188.1754500459611,203.25,189,47.25
374,1,26,(-165+90j),-165,90,187.94946129212502,203.5,190,47.5
375,1,26,(-110+150j),-110,150,186.01075237738274,203.75,191,47.75
384,1,26,(195-87j),195,-87,213.52751579129094,209.0,212,53.0
385,1,26,(141-156j),141,-156,210.27838690650069,209.25,213,53.25
386,1,26,(61-202j),61,-202,211.00947846009194,209.5,214,53.5
387,1,26,(-26-210j),-26,-210,211.60340261914504,209.75,215,53.75
396,1,26,(-180-15j),-180,-15,180.62391868188442,215.0,236,59.0
397,1,26,(-176+50j),-176,50,182.96447742663054,215.25,237,59.25
398,1,26,(-146+118j),-146,118,187.72320048411703,215.5,238,59.5
399,1,26,(-98+164j),-98,164,191.049731745428,215.75,239,59.75
408,1,26,(192-85j),192,-85,209.97380789041284,221.0,260,65.0
409,1,26,(134-166j),134,-166,213.33541665649423,221.25,261,65.25
410,1,26,(66-204j),66,-204,214.41082062246764,221.5,262,65.5
411,1,26,(-17-208j),-17,-208,208.6935552430884,221.75,263,65.75
420,1,26,(-181-9j),-181,-9,181.22361876973983,227.0,284,71.0
421,1,26,(-170+65j),-170,65,182.00274723201295,227.25,285,71.25
422,1,26,(-138+126j),-138,126,186.86893802876924,227.5,286,71.5
423,1,26,(-76+174j),-76,174,189.87364219396014,227.75,287,71.75
432,1,26,(147-149j),147,-149,209.3083849252103,233.0,308,77.0
433,1,26,(74-195j),74,-195,208.568933448872,233.25,309,77.25
434,1,26,(-11-209j),-11,-209,209.28927349484493,233.5,310,77.5
435,1,26,(-90-190j),-90,-190,210.23796041628637,233.75,311,77.75
444,1,26,(-166+86j),-166,86,186.9545399288287,239.0,332,83.0
445,1,26,(-124+141j),-124,141,187.76847445724215,239.25,333,83.25
446,1,26,(-57+178j),-57,178,186.90371852908652,239.5,334,83.5
447,1,26,(10+184j),10,184,184.27153876819935,239.75,335,83.75
456,1,26,(137-157j),137,-157,208.3698634639856,245.0,356,89.0
457,1,26,(57-198j),57,-198,206.0412580043133,245.25,357,89.25
458,1,26,(-14-206j),-14,-206,206.47518010647187,245.5,358,89.5
459,1,26,(-90-183j),-90,-183,203.93381279228808,245.75,359,89.75
468,1,26,(-169+62j),-169,62,180.01388835309348,251.0,380,95.0
469,1,26,(-129+129j),-129,129,182.43354954612926,251.25,381,95.25
470,1,26,(-73+171j),-73,171,185.930094390338,251.5,382,95.5
471,1,26,(4+189j),4,189,189.04232330353963,251.75,383,95.75
480,1,26,(122-162j),122,-162,202.8003944769339,257.0,404,101.0
481,1,26,(45-198j),45,-198,203.0492551082126,257.25,405,101.25
482,1,26,(-45-198j),-45,-198,203.0492551082126,257.5,406,101.5
483,1,26,(-126-158j),-126,-158,202.08908926510605,257.75,407,101.75
492,1,26,(-158+99j),-158,99,186.45374761586316,263.0,428,107.0
493,1,26,(-115+149j),-115,149,188.2179587605816,263.25,429,107.25
494,1,26,(-49+183j),-49,183,189.44656238633627,263.5,430,107.5
495,1,26,(19+186j),19,186,186.96791168540125,263.75,431,107.75
504,1,26,(63-194j),63,-194,203.9730374338726,269.0,452,113.0
505,1,26,(-37-205j),-37,-205,208.3122656014283,269.25,453,113.25
506,1,26,(-111-179j),-111,-179,210.62288574606512,269.5,454,113.5
507,1,26,(-172-121j),-172,-121,210.2974084481309,269.75,455,113.75
516,1,26,(-151+111j),-151,111,187.40864441108366,275.0,476,119.0
517,1,26,(-94+159j),-94,159,184.70787747142785,275.25,477,119.25
518,1,26,(-30+182j),-30,182,184.45595680270128,275.5,478,119.5
519,1,26,(51+178j),51,178,185.16209115258988,275.75,479,119.75
528,1,26,(51-197j),51,-197,203.49447166937975,281.0,500,125.0
529,1,26,(-35-202j),-35,-202,205.00975586542216,281.25,501,125.25
530,1,26,(-119-173j),-119,-173,209.97618912629116,281.5,502,125.5
531,1,26,(-176-108j),-176,-108,206.49455198624491,281.75,503,125.75
540,1,26,(-103+149j),-103,149,181.13530854032848,287.0,524,131.0
541,1,26,(-46+176j),-46,176,181.91206666958627,287.25,525,131.25
542,1,26,(24+181j),24,181,182.58422713914803,287.5,526,131.5
543,1,26,(84+163j),84,163,183.3712082089225,287.75,527,131.75
552,1,26,(8-215j),8,-215,215.14878572745886,293.0,548,137.0
553,1,26,(-81-194j),-81,-194,210.23082552280482,293.25,549,137.25
554,1,26,(-143-149j),-143,-149,206.51876428063383,293.5,550,137.5
555,1,26,(-186-75j),-186,-75,200.55173896029922,293.75,551,137.75
564,1,26,(-92+160j),-92,160,184.56435192094924,299.0,572,143.0
565,1,26,(-13+180j),-13,180,180.46883387443938,299.25,573,143.25
566,1,26,(61+172j),61,172,182.49657531033287,299.5,574,143.5
567,1,26,(135+133j),135,133,189.50989420080418,299.75,575,143.75
576,1,26,(2-210j),2,-210,210.00952359357422,305.0,596,149.0
577,1,26,(-83-196j),-83,-196,212.8497122384712,305.25,597,149.25
578,1,26,(-156-150j),-156,-150,216.4162655624572,305.5,598,149.5
579,1,26,(-200-79j),-200,-79,215.03720608304042,305.75,599,149.75
596,2,11,(25+107j),25,107,109.88175462741756,323.0,44,11.0
597,2,11,(64+91j),64,91,111.25196627475849,323.25,45,11.25
598,2,11,(92+64j),92,64,112.0714058089752,323.5,46,11.5
599,2,11,(112+22j),112,22,114.1402645870422,323.75,47,11.75
608,2,11,(-135-102j),-135,-102,169.2010638264429,329.0,68,17.0
609,2,11,(-164-30j),-164,-30,166.7213243709394,329.25,69,17.25
