,pkt,Channel,ant_info,I,Q,Magnitude,time_stamp,sample_idx,time_per_channel
8,0,0,(-20+10j),-20,10,22.360679774997898,13.0,52,13.0
9,0,0,(-20+1j),-20,1,20.024984394500787,13.25,53,13.25
10,0,0,(-18+7j),-18,7,19.313207915827967,13.5,54,13.5
11,0,0,(-13+18j),-13,18,22.20360331117452,13.75,55,13.75
20,0,0,(62+13j),62,13,63.34824385884742,19.0,76,19.0
21,0,0,(61-13j),61,-13,62.369864518050704,19.25,77,19.25
22,0,0,(44-40j),44,-40,59.464274989274024,19.5,78,19.5
23,0,0,(21-59j),21,-59,62.625873247404705,19.75,79,19.75
32,0,0,(-12+18j),-12,18,21.633307652783937,25.0,100,25.0
33,0,0,(-15+13j),-15,13,19.849433241279208,25.25,101,25.25
34,0,0,(-9+16j),-9,16,18.35755975068582,25.5,102,25.5
35,0,0,(2+19j),2,19,19.1049731745428,25.75,103,25.75
44,0,0,(54-34j),54,-34,63.812224534175265,31.0,124,31.0
45,0,0,(34-53j),34,-53,62.96824596572466,31.25,125,31.25
46,0,0,(5-63j),5,-63,63.198101237299845,31.5,126,31.5
47,0,0,(-26-61j),-26,-61,66.30987860040162,31.75,127,31.75
56,0,0,(4+17j),4,17,17.46424919657298,37.0,148,37.0
57,0,0,(-9+16j),-9,16,18.35755975068582,37.25,149,37.25
58,0,0,(-4+19j),-4,19,19.4164878389476,37.5,150,37.5
59,0,0,(8+19j),8,19,20.615528128088304,37.75,151,37.75
68,0,0,(25-56j),25,-56,61.326992425847855,43.0,172,43.0
69,0,0,(-1-61j),-1,-61,61.00819617067857,43.25,173,43.25
70,0,0,(-32-54j),-32,-54,62.76941930590086,43.5,174,43.5
71,0,0,(-54-35j),-54,-35,64.35060217278468,43.75,175,43.75
80,0,0,(13+11j),13,11,17.029386365926403,49.0,196,49.0
81,0,0,(2+13j),2,13,13.152946437965905,49.25,197,49.25
82,0,0,(5+10j),5,10,11.180339887498949,49.5,198,49.5
83,0,0,(12+5j),12,5,13.0,49.75,199,49.75
92,0,0,(-16-56j),-16,-56,58.240879114244144,55.0,220,55.0
93,0,0,(-35-48j),-35,-48,59.405386961116584,55.25,221,55.25
94,0,0,(-50-29j),-50,-29,57.8013840664737,55.5,222,55.5
95,0,0,(-58-2j),-58,-2,58.034472514187634,55.75,223,55.75
104,0,0,(14+4j),14,4,14.560219778561036,61.0,244,61.0
105,0,0,(11+14j),11,14,17.804493814764857,61.25,245,61.25
106,0,0,(18+10j),18,10,20.591260281974,61.5,246,61.5
107,0,0,(24-4j),24,-4,24.331050121192877,61.75,247,61.75
116,0,0,(-50-30j),-50,-30,58.309518948453004,67.0,268,67.0
117,0,0,(-57-11j),-57,-11,58.05170109479997,67.25,269,67.25
118,0,0,(-54+15j),-54,15,56.04462507680822,67.5,270,67.5
119,0,0,(-41+38j),-41,38,55.90169943749474,67.75,271,67.75
128,0,0,(18-10j),18,-10,20.591260281974,73.0,292,73.0
129,0,0,(19+0j),19,0,19.0,73.25,293,73.25
130,0,0,(19-4j),19,-4,19.4164878389476,73.5,294,73.5
131,0,0,(13-13j),13,-13,18.384776310850235,73.75,295,73.75
140,0,0,(-61-1j),-61,-1,61.00819617067857,79.0,316,79.0
141,0,0,(-54+23j),-54,23,58.69412236331676,79.25,317,79.25
142,0,0,(-38+42j),-38,42,56.639209034025185,79.5,318,79.5
143,0,0,(-13+57j),-13,57,58.463663928973865,79.75,319,79.75
