pkt,sample_idx,ant_array,ant_num,channel,rssi,i,q
1,40,1,0,13,-80,101,145
1,41,1,0,13,-80,27,173
1,42,1,0,13,-80,-45,168
1,43,1,0,13,-80,-108,136
1,44,1,0,13,-80,-155,77
1,45,1,0,13,-80,-172,14
1,46,1,0,13,-80,-162,-52
1,47,1,0,13,-80,-122,-118
1,56,1,1,13,-80,-14,110
1,57,1,1,13,-80,-55,96
1,58,1,1,13,-80,-90,69
1,59,1,1,13,-80,-107,35
1,60,1,1,13,-80,-108,-7
1,61,1,1,13,-80,-89,-56
1,62,1,1,13,-80,-59,-93
1,63,1,1,13,-80,-13,-114
2,104,1,2,13,-80,-85,65
2,105,1,2,13,-80,-99,20
2,106,1,2,13,-80,-101,-18
2,107,1,2,13,-80,-91,-54
2,108,1,2,13,-80,-66,-88
2,109,1,2,13,-80,-34,-109
2,110,1,2,13,-80,7,-115
2,111,1,2,13,-80,57,-100
2,120,1,0,13,-80,-60,-5
2,121,1,0,13,-80,-47,-27
2,122,1,0,13,-80,-27,-46
2,123,1,0,13,-80,-9,-55
2,124,1,0,13,-80,9,-55
2,125,1,0,13,-80,30,-46
2,126,1,0,13,-80,46,-32
2,127,1,0,13,-80,56,-14
3,72,1,1,13,-80,-50,37
3,73,1,1,13,-80,-58,9
3,74,1,1,13,-80,-56,-18
3,75,1,1,13,-80,-45,-43
3,76,1,1,13,-80,-24,-56
3,77,1,1,13,-80,4,-58
3,78,1,1,13,-80,24,-51
3,79,1,1,13,-80,36,-39
3,88,1,2,13,-80,-41,179
3,89,1,2,13,-80,-116,155
3,90,1,2,13,-80,-161,106
3,91,1,2,13,-80,-183,31
3,92,1,2,13,-80,-177,-39
3,93,1,2,13,-80,-150,-103
3,94,1,2,13,-80,-96,-156
3,95,1,2,13,-80,-31,-180
4,200,1,0,13,-80,-85,-77
4,201,1,0,13,-80,-50,-101
4,202,1,0,13,-80,-7,-110
4,203,1,0,13,-80,43,-101
4,204,1,0,13,-80,82,-78
4,205,1,0,13,-80,109,-44
4,206,1,0,13,-80,119,3
4,207,1,0,13,-80,108,47
4,216,1,1,13,-80,0,-52
4,217,1,1,13,-80,28,-47
4,218,1,1,13,-80,48,-36
4,219,1,1,13,-80,62,-19
4,220,1,1,13,-80,66,7
4,221,1,1,13,-80,58,32
4,222,1,1,13,-80,42,52
4,223,1,1,13,-80,20,63
5,136,1,2,13,-80,-146,93
5,137,1,2,13,-80,-174,32
5,138,1,2,13,-80,-174,-33
5,139,1,2,13,-80,-144,-101
5,140,1,2,13,-80,-97,-148
5,141,1,2,13,-80,-37,-173
5,142,1,2,13,-80,39,-173
5,143,1,2,13,-80,104,-144
5,152,1,0,13,-80,-111,22
5,153,1,0,13,-80,-107,-27
5,154,1,0,13,-80,-88,-69
5,155,1,0,13,-80,-53,-103
5,156,1,0,13,-80,-1,-117
5,157,1,0,13,-80,42,-106
5,158,1,0,13,-80,74,-75
5,159,1,0,13,-80,95,-25
6,168,1,1,13,-80,-54,-31
6,169,1,1,13,-80,-34,-45
6,170,1,1,13,-80,-5,-55
6,171,1,1,13,-80,22,-53
6,172,1,1,13,-80,47,-36
6,173,1,1,13,-80,58,-15
6,174,1,1,13,-80,59,6
6,175,1,1,13,-80,47,26
6,184,1,2,13,-80,-174,-18
6,185,1,2,13,-80,-152,-86
6,186,1,2,13,-80,-96,-146
6,187,1,2,13,-80,-29,-174
6,188,1,2,13,-80,39,-173
6,189,1,2,13,-80,105,-141
6,190,1,2,13,-80,148,-89
6,191,1,2,13,-80,173,-24
13,232,1,1,13,-80,-123,-120
13,233,1,1,13,-80,-68,-161
13,234,1,1,13,-80,6,-175
13,235,1,1,13,-80,72,-159
13,236,1,1,13,-80,126,-118
13,237,1,1,13,-80,167,-52
13,238,1,1,13,-80,175,20
13,239,1,1,13,-80,154,92
13,248,1,2,13,-80,-19,-117
13,249,1,2,13,-80,22,-115
13,250,1,2,13,-80,60,-97
13,251,1,2,13,-80,92,-60
13,252,1,2,13,-80,106,-16
13,253,1,2,13,-80,104,31
13,254,1,2,13,-80,83,77
13,255,1,2,13,-80,50,103
14,424,1,0,13,-80,140,91
14,425,1,0,13,-80,93,143
14,426,1,0,13,-80,32,172
14,427,1,0,13,-80,-44,172
14,428,1,0,13,-80,-107,144
14,429,1,0,13,-80,-156,95
14,430,1,0,13,-80,-180,22
14,431,1,0,13,-80,-170,-48
14,440,1,1,13,-80,29,110
14,441,1,1,13,-80,-27,106
14,442,1,1,13,-80,-71,89
14,443,1,1,13,-80,-102,59
14,444,1,1,13,-80,-118,16
14,445,1,1,13,-80,-114,-26
14,446,1,1,13,-80,-97,-63
14,447,1,1,13,-80,-62,-95
15,296,1,2,13,-80,70,-94
15,297,1,2,13,-80,95,-59
15,298,1,2,13,-80,106,-12
15,299,1,2,13,-80,103,32
15,300,1,2,13,-80,86,71
15,301,1,2,13,-80,50,104
15,302,1,2,13,-80,6,116
15,303,1,2,13,-80,-44,107
15,312,1,0,13,-80,58,-6
15,313,1,0,13,-80,56,15
15,314,1,0,13,-80,48,34
15,315,1,0,13,-80,32,50
15,316,1,0,13,-80,12,57
15,317,1,0,13,-80,-12,57
15,318,1,0,13,-80,-36,48
15,319,1,0,13,-80,-48,32
16,488,1,1,13,-80,-52,103
16,489,1,1,13,-80,-83,70
16,490,1,1,13,-80,-101,29
16,491,1,1,13,-80,-104,-17
16,492,1,1,13,-80,-93,-53
16,493,1,1,13,-80,-69,-82
16,494,1,1,13,-80,-27,-103
16,495,1,1,13,-80,19,-108
16,504,1,2,13,-80,-66,15
16,505,1,2,13,-80,-64,-9
16,506,1,2,13,-80,-56,-29
16,507,1,2,13,-80,-44,-46
16,508,1,2,13,-80,-22,-59
16,509,1,2,13,-80,3,-62
16,510,1,2,13,-80,29,-55
16,511,1,2,13,-80,48,-32
17,392,1,0,13,-80,93,55
17,393,1,0,13,-80,63,87
17,394,1,0,13,-80,25,106
17,395,1,0,13,-80,-18,111
17,396,1,0,13,-80,-64,94
17,397,1,0,13,-80,-95,64
17,398,1,0,13,-80,-112,25
17,399,1,0,13,-80,-110,-24
17,408,1,1,13,-80,15,69
17,409,1,1,13,-80,-7,71
17,410,1,1,13,-80,-30,61
17,411,1,1,13,-80,-43,41
17,412,1,1,13,-80,-51,13
17,413,1,1,13,-80,-54,-21
17,414,1,1,13,-80,-48,-47
17,415,1,1,13,-80,-32,-60
18,456,1,2,13,-80,-42,48
18,457,1,2,13,-80,-56,31
18,458,1,2,13,-80,-63,9
18,459,1,2,13,-80,-60,-13
18,460,1,2,13,-80,-48,-38
18,461,1,2,13,-80,-28,-57
18,462,1,2,13,-80,-4,-67
18,463,1,2,13,-80,20,-63
18,472,1,0,13,-80,25,176
18,473,1,0,13,-80,-47,174
18,474,1,0,13,-80,-117,142
18,475,1,0,13,-80,-160,94
18,476,1,0,13,-80,-180,36
18,477,1,0,13,-80,-172,-37
18,478,1,0,13,-80,-140,-100
18,479,1,0,13,-80,-87,-152
19,360,1,1,13,-80,41,47
19,361,1,1,13,-80,18,56
