pkt,sample_idx,ant_array,ant_num,channel,rssi,i,q
0,40,1,0,32,-71,430,158
0,41,1,0,32,-71,347,301
0,42,1,0,32,-71,191,412
0,43,1,0,32,-71,21,452
0,44,1,0,32,-71,-168,430
0,45,1,0,32,-71,-323,332
0,46,1,0,32,-71,-422,203
0,47,1,0,32,-71,-474,26
0,56,1,1,32,-71,294,224
0,57,1,1,32,-71,180,317
0,58,1,1,32,-71,55,357
0,59,1,1,32,-71,-91,351
0,60,1,1,32,-71,-206,298
0,61,1,1,32,-71,-300,193
0,62,1,1,32,-71,-346,73
0,63,1,1,32,-71,-341,-76
2,72,1,2,32,-71,142,195
2,73,1,2,32,-71,51,240
2,74,1,2,32,-71,-50,247
2,75,1,2,32,-71,-134,217
2,76,1,2,32,-71,-207,149
2,77,1,2,32,-71,-245,72
2,78,1,2,32,-71,-245,-17
2,79,1,2,32,-71,-212,-88
2,88,1,0,32,-71,472,-44
2,89,1,0,32,-71,454,125
2,90,1,0,32,-71,355,296
2,91,1,0,32,-71,210,404
2,92,1,0,32,-71,22,456
2,93,1,0,32,-71,-143,439
2,94,1,0,32,-71,-303,349
2,95,1,0,32,-71,-409,218
9,104,1,2,32,-71,334,118
9,105,1,2,32,-71,255,244
9,106,1,2,32,-71,151,321
9,107,1,2,32,-71,13,353
9,108,1,2,32,-71,-111,335
9,109,1,2,32,-71,-233,262
9,110,1,2,32,-71,-313,161
9,111,1,2,32,-71,-357,18
9,120,1,0,32,-71,209,132
9,121,1,0,32,-71,140,206
9,122,1,0,32,-71,56,247
9,123,1,0,32,-71,-48,249
9,124,1,0,32,-71,-137,212
9,125,1,0,32,-71,-210,133
9,126,1,0,32,-71,-241,50
9,127,1,0,32,-71,-232,-42
10,168,1,1,32,-71,237,44
10,169,1,1,32,-71,191,129
10,170,1,1,32,-71,127,187
10,171,1,1,32,-71,35,226
10,172,1,1,32,-71,-55,233
10,173,1,1,32,-71,-146,203
10,174,1,1,32,-71,-201,147
10,175,1,1,32,-71,-224,61
10,184,1,2,32,-71,321,-338
10,185,1,2,32,-71,430,-182
10,186,1,2,32,-71,468,-17
10,187,1,2,32,-71,438,164
10,188,1,2,32,-71,342,315
10,189,1,2,32,-71,214,408
10,190,1,2,32,-71,38,460
10,191,1,2,32,-71,-127,452
15,296,1,2,32,-71,122,-331
15,297,1,2,32,-71,240,-253
15,298,1,2,32,-71,314,-153
15,299,1,2,32,-71,352,-15
15,300,1,2,32,-71,339,115
15,301,1,2,32,-71,271,245
15,302,1,2,32,-71,169,325
15,303,1,2,32,-71,24,361
15,312,1,0,32,-71,155,-195
15,313,1,0,32,-71,208,-132
15,314,1,0,32,-71,237,-41
